player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Logan Thompson,WSH,G,8480313,2459,138.0,213.022705078125,75.02,-0.05,163.91925048828125,13.367780685424805,0.9439,0.9134
Jeremy Swayman,BOS,G,8480280,2370,146.0,205.11630249023438,59.12,0.15,162.649169921875,8.319283485412598,0.9384,0.9135
Ilya Sorokin,NYI,G,8478009,2297,144.0,197.80795288085938,53.81,0.1,157.61050415039062,7.126721382141113,0.9373,0.9139
Andrei Vasilevskiy,TBL,G,8476883,2108,125.0,175.16172790527344,50.16,0.14,139.0595703125,6.955982208251953,0.9407,0.9169
Jet Greaves,CBJ,G,8482982,2344,139.0,191.90414428710938,52.9,0.18,153.11856079101562,6.9231109619140625,0.9407,0.9181
Igor Shesterkin,NYR,G,8478048,2093,122.0,172.28704833984375,50.29,0.15,137.07351684570312,6.534791946411133,0.9417,0.9177
Jakub Dobes,MTL,G,8482487,1699,107.0,150.04959106445312,43.05,0.05,119.477783203125,5.53287410736084,0.937,0.9117
Spencer Knight,CHI,G,8481519,2486,160.0,211.68814086914062,51.69,0.01,171.08851623535156,5.1998186111450195,0.9356,0.9148
Scott Wedgewood,COL,G,8475809,1660,88.0,129.72341918945312,41.72,0.18,103.14356994628906,5.078713417053223,0.947,0.9219
Dan Vladar,PHI,G,8478435,1928,113.0,155.5706329345703,42.57,0.05,124.7690200805664,4.784528732299805,0.9414,0.9193
Jake Oettinger,DAL,G,8479979,2085,137.0,180.44412231445312,43.44,0.13,146.26980590820312,4.173015117645264,0.9343,0.9135
John Gibson,DET,G,8476434,2240,145.0,185.91656494140625,40.92,0.14,150.94772338867188,3.9107627868652344,0.9353,0.917
Anton Forsberg,LAK,G,8476341,1439,83.0,117.06459045410156,34.06,-0.02,93.97576904296875,3.5802972316741943,0.9423,0.9186
Jake Allen,NJD,G,8474596,1659,105.0,141.55072021484375,36.55,0.06,114.66714477539062,3.2274694442749023,0.9367,0.9147
Ukko-Pekka Luukkonen,BUF,G,8480045,1352,78.0,108.35540771484375,30.36,-0.01,87.1629867553711,3.078071117401123,0.9423,0.9199
Justus Annunen,NSH,G,8481020,1151,70.0,98.96853637695312,28.97,0.01,79.39060974121094,3.02547550201416,0.9392,0.914
Joel Hofer,STL,G,8480981,1887,117.0,149.92283630371094,32.92,0.06,122.04261779785156,2.8808414936065674,0.938,0.9205
Jesper Wallstedt,MIN,G,8482661,1573,89.0,122.43849182128906,33.44,0.01,99.0631103515625,2.8598814010620117,0.9434,0.9222
Philipp Grubauer,SEA,G,8475831,1345,79.0,108.70474243164062,29.7,0.08,88.00759887695312,2.6163744926452637,0.9413,0.9192
Karel Vejmelka,UTA,G,8478872,2439,166.0,206.404541015625,40.4,0.01,169.32357788085938,2.5625243186950684,0.9319,0.9154
Alex Lyon,BUF,G,8479312,1460,90.0,120.67362213134766,30.67,0.03,98.07461547851562,2.44303035736084,0.9384,0.9173
Mackenzie Blackwood,COL,G,8478406,1391,84.0,113.59673309326172,29.6,0.04,92.20576477050781,2.428293228149414,0.9396,0.9183
Devin Cooley,CGY,G,8482445,1199,75.0,102.36095428466797,27.36,0.21,83.1805419921875,2.3116259574890137,0.9374,0.9146
Dennis Hildeby,TOR,G,8483710,931,52.0,76.52510070800781,24.53,0.07,61.90010452270508,1.914955735206604,0.9441,0.9178
Casey DeSmith,DAL,G,8479193,1166,72.0,97.99665832519531,26.0,0.04,79.72140502929688,1.8836687803268433,0.9383,0.916
Jacob Fowler,MTL,G,8484170,709,43.0,65.89330291748047,22.89,0.12,53.122764587402344,1.869065761566162,0.9394,0.9071
Dustin Wolf,CGY,G,8481692,2328,152.0,187.82208251953125,35.82,0.07,154.58889770507812,1.8170210123062134,0.9347,0.9193
Brandon Bussi,CAR,G,8483548,1310,90.0,117.47160339355469,27.47,0.01,96.01531982421875,1.8058826923370361,0.9313,0.9103
Joonas Korpisalo,BOS,G,8476914,1258,85.0,109.75350952148438,24.75,-0.04,89.85745239257812,1.526787519454956,0.9324,0.9128
David Rittich,NYI,G,8479496,1147,76.0,99.70198059082031,23.7,-0.04,81.59048461914062,1.3825364112854004,0.9337,0.9131
Connor Ingram,EDM,G,8478971,1094,71.0,92.28504943847656,21.29,0.04,75.50568389892578,1.3776217699050903,0.9351,0.9156
Stuart Skinner,PIT,G,8479973,2031,142.0,173.35934448242188,31.36,-0.01,143.49655151367188,0.812012791633606,0.9301,0.9146
Joey Daccord,SEA,G,8478916,2036,132.0,162.53944396972656,30.54,0.07,134.62332153320312,0.8007440567016602,0.9352,0.9202
Akira Schmid,VGK,G,8481033,1300,81.0,102.22535705566406,21.23,-0.0,84.48362731933594,0.6867824196815491,0.9377,0.9214
Alex Nedeljkovic,SJS,G,8477968,1579,106.0,130.3505096435547,24.35,0.17,108.125732421875,0.5870210528373718,0.9329,0.9174
Filip Gustavsson,MIN,G,8479406,2075,133.0,162.077392578125,29.08,0.16,134.6639862060547,0.5081102848052979,0.9359,0.9219
Colten Ellis,BUF,G,8481551,693,44.0,56.6536750793457,12.65,0.03,46.811466217041016,0.37584388256073,0.9365,0.9182
Dylan Garand,NYR,G,8482193,206,11.0,17.14239501953125,6.14,-0.02,14.082014083862305,0.1884426772594452,0.9466,0.9168
Trent Miner,COL,G,8481529,258,12.0,19.977378845214844,7.98,0.0,16.440887451171875,0.1883653998374939,0.9535,0.9226
Clay Stevenson,WSH,G,8483532,166,8.0,14.131353378295898,6.13,-0.03,11.571380615234375,0.16957910358905792,0.9518,0.9149
Thatcher Demko,VAN,G,8477967,881,60.0,73.66682434082031,13.67,0.01,61.22355270385742,0.11808494478464127,0.9319,0.9164
Matt Murray,SEA,G,8476899,230,12.0,17.927947998046875,5.93,0.0,14.811934471130371,0.11177055537700653,0.9478,0.9221
Sergei Murashov,PIT,G,8483703,262,15.0,20.518692016601562,5.52,0.03,17.043832778930664,0.07544170320034027,0.9427,0.9217
Drew Commesso,CHI,G,8482123,136,6.0,10.954490661621094,4.95,-0.03,9.011088371276855,0.07188896834850311,0.9559,0.9195
Pyotr Kochetkov,CAR,G,8481611,320,22.0,27.65282440185547,5.65,0.03,23.000247955322266,0.05333402007818222,0.9312,0.9136
Arsenii Sergeev,CGY,G,8482949,44,1.0,4.627737045288086,3.63,-0.0,3.7926888465881348,0.049295395612716675,0.9773,0.8948
Carter Hart,VGK,G,8479394,645,46.0,55.23255157470703,9.23,0.01,45.96821594238281,0.04587028920650482,0.9287,0.9144
Daniil Tarasov,FLA,G,8480193,1438,101.0,121.8582763671875,20.86,0.06,101.54586791992188,0.026991285383701324,0.9298,0.9153
Cal Petersen,MIN,G,8477361,53,3.0,5.593326568603516,2.59,0.01,4.651220798492432,0.017532717436552048,0.9434,0.8945
Nikke Kokko,SEA,G,8483668,173,11.0,13.903948783874512,2.9,0.02,11.589254379272461,0.015922648832201958,0.9364,0.9196
Ivan Fedotov,CBJ,G,8478905,60,2.0,4.350919246673584,2.35,0.01,3.610382080078125,0.013574634678661823,0.9667,0.9275
Victor Ostman,SEA,G,8484910,55,2.0,3.431720733642578,1.43,-0.02,2.826089859008789,0.0111356470733881,0.9636,0.9376
Garin Bjorklund,WSH,G,8482188,28,0.0,2.4534034729003906,2.45,0.0,2.036517858505249,0.009209854528307915,1.0,0.9124
Carson Bjarnason,PHI,G,8484147,20,0.0,2.2784500122070312,2.28,-0.01,1.8842495679855347,0.007658728398382664,1.0,0.8861
Gabriel Carriere,SJS,G,8484887,22,0.0,2.0432279109954834,2.04,0.0,1.6914104223251343,0.006949110887944698,1.0,0.9071
Kaapo Kahkonen,MTL,G,8478039,58,4.0,5.298844337463379,1.3,0.0,4.408931255340576,0.0041745854541659355,0.931,0.9086
Matt Murray,NSH,G,8483575,24,1.0,2.319913864135742,1.32,-0.0,1.930355429649353,0.00385892391204834,0.9583,0.9033
Parker Gahagen,,G,8480481,20,1.0,2.330984592437744,1.33,-0.0,1.9722143411636353,0.0037246719002723694,0.95,0.8835
Jakub Malek,NJD,G,8482867,23,1.0,2.1737747192382812,1.17,-0.01,1.7999507188796997,0.003336440771818161,0.9565,0.9055
Ryan Fanti,TBL,G,8483534,13,0.0,1.448644995689392,1.45,0.01,1.211713194847107,0.0032610753551125526,1.0,0.8886
Devon Levi,BUF,G,8482221,15,0.0,1.2849416732788086,1.28,-0.0,1.0633232593536377,0.0026461612433195114,1.0,0.9143
Caleb Heil,TBL,G,8485657,12,0.0,1.217234492301941,1.22,0.0,1.0132462978363037,0.002334998920559883,1.0,0.8986
Antoine Bibeau,,G,8477312,26,1.0,1.9576427936553955,0.96,-0.0,1.6299889087677002,0.0022485111840069294,0.9615,0.9247
Samuel Jonsson,EDM,G,8483769,17,0.0,1.137715458869934,1.14,-0.01,0.9382054209709167,0.001995635684579611,1.0,0.9331
Joel Blomqvist,PIT,G,8482446,15,0.0,0.9543836116790771,0.95,-0.0,0.7925325036048889,0.0014591272920370102,1.0,0.9364
Owen Say,CGY,G,8485465,11,0.0,0.9387397766113281,0.94,-0.0,0.7761645913124084,0.0014080554246902466,1.0,0.9147
Marc-Andre Fleury,,G,8470594,14,0.0,0.9029139876365662,0.9,-0.0,0.7490150928497314,0.0013208864256739616,1.0,0.9355
Evan Gardner,CBJ,G,8484997,8,0.0,0.7612723112106323,0.76,-0.0,0.6300345659255981,0.0008964259177446365,1.0,0.9048
Georgi Romanov,STL,G,8484312,15,1.0,1.55539870262146,0.56,0.0,1.3047099113464355,0.0008798204362392426,0.9333,0.8963
Calle Clang,ANA,G,8482477,62,4.0,4.900728225708008,0.9,-0.0,4.069442272186279,0.0008230702951550484,0.9355,0.921
Simon Zajicek,BOS,G,8485538,7,0.0,0.63639235496521,0.64,-0.0,0.5298158526420593,0.0006080847233533859,1.0,0.9091
Nathaniel Day,EDM,G,8484455,12,0.0,0.6025829911231995,0.6,-0.0,0.4985445439815521,0.000589463859796524,1.0,0.9498
Nikita Quapp,CAR,G,8482895,22,2.0,2.4854226112365723,0.49,-0.0,2.073030471801758,0.00034645479172468185,0.9091,0.887
Vyacheslav Peksa,TOR,G,8482940,27,2.0,2.474231481552124,0.47,-0.0,2.054466724395752,0.0002475809305906296,0.9259,0.9084
Filip Larsson,,G,8479548,13,1.0,1.1484156847000122,0.15,-0.0,0.9532581567764282,-0.00010479521006345749,0.9231,0.9117
Jesper Vikman,VGK,G,8482484,12,1.0,1.0843335390090942,0.08,0.0,0.9011874198913574,-0.00020228512585163116,0.9167,0.9096
Magnus Chrona,NSH,G,8480992,27,2.0,2.3394691944122314,0.34,0.0,1.9522745609283447,-0.00020542461425065994,0.9259,0.9134
Kyle Keyser,,G,8480356,6,1.0,0.410811185836792,-0.59,-0.0,0.34228792786598206,-0.00050380639731884,0.8333,0.9315
Zach Sawchenko,CBJ,G,8479313,11,1.0,0.7445454001426697,-0.26,0.0,0.6204650402069092,-0.0005544945597648621,0.9091,0.9323
Vadim Zherenko,STL,G,8481689,9,1.0,0.6676783561706543,-0.33,-0.0,0.5547117590904236,-0.0005670860409736633,0.8889,0.9258
Hunter Shepard,OTT,G,8482411,27,2.0,2.289926052093506,0.29,-0.0,1.906042456626892,-0.0017994474619626999,0.9259,0.9152
