goalie_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8470594,Marc-Andre Fleury,,1,-2,22.5,-38.97,1,0,0.025521595,0.021451583085512205,0.0215,0.0215
8470594,Marc-Andre Fleury,,1,-1,22.5,-12.99,1,0,0.054352768,0.045236852821685214,0.0452,0.0452
8470594,Marc-Andre Fleury,,1,1,22.5,38.97,1,0,0.023236696,0.019558930082622376,0.0196,0.0196
8470594,Marc-Andre Fleury,,2,-2,45.0,-25.98,2,0,0.040843092,0.034448919437975546,0.0344,0.0172
8470594,Marc-Andre Fleury,,2,-1,45.0,0.0,4,0,0.25756255299999997,0.21414360257570886,0.2141,0.0535
8470594,Marc-Andre Fleury,,2,0,45.0,25.98,2,0,0.050148351,0.042159811438029784,0.0422,0.0211
8470594,Marc-Andre Fleury,,3,-2,67.5,-12.99,1,0,0.11411545,0.09464072710244385,0.0946,0.0946
8470594,Marc-Andre Fleury,,4,-2,90.0,0.0,2,0,0.33713353,0.2813808733177527,0.2814,0.1407
8471734,Jonathan Quick,NYR,0,0,0.0,0.0,1,0,0.013482449,0.011452369438655388,0.0115,0.0115
8471734,Jonathan Quick,NYR,0,1,0.0,25.98,1,0,0.0074696955,0.006412639055833729,0.0064,0.0064
8471734,Jonathan Quick,NYR,1,-2,22.5,-38.97,5,0,0.115202394,0.09691504520477345,0.0969,0.0194
8471734,Jonathan Quick,NYR,1,-1,22.5,-12.99,7,0,0.284948779,0.23785475566521525,0.2379,0.034
8471734,Jonathan Quick,NYR,1,0,22.5,12.99,7,1,0.1565576655,0.131794746000774,-0.8682,-0.124
8471734,Jonathan Quick,NYR,1,1,22.5,38.97,4,0,0.080714217,0.06808277411270645,0.0681,0.017
8471734,Jonathan Quick,NYR,2,-2,45.0,-25.98,33,1,1.452548054,1.2112233669652475,0.2112,0.0064
8471734,Jonathan Quick,NYR,2,-1,45.0,0.0,35,3,2.3936995173,1.9900572832851715,-1.0099,-0.0289
8471734,Jonathan Quick,NYR,2,0,45.0,25.98,28,1,0.961477676,0.8040899989956375,-0.1959,-0.007
