hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,goal_rate,xg_rate
0,-2,0.0,-51.96,76,0,3.9640047229,0.0,0.0522
0,-1,0.0,-25.98,160,1,8.1096252288,0.0062,0.0507
0,0,0.0,0.0,156,0,8.1853012291,0.0,0.0525
0,1,0.0,25.98,202,0,8.5540853246,0.0,0.0423
0,2,0.0,51.96,5,0,0.1378080615,0.0,0.0276
1,-2,22.5,-38.97,1251,5,36.8778327057,0.004,0.0295
1,-1,22.5,-12.99,1511,33,64.5090658825,0.0218,0.0427
1,0,22.5,12.99,1237,25,40.8076375323,0.0202,0.033
1,1,22.5,38.97,774,5,25.1384792162,0.0065,0.0325
2,-3,45.0,-51.96,396,3,9.935866957,0.0076,0.0251
2,-2,45.0,-25.98,4285,116,178.8813848988,0.0271,0.0417
2,-1,45.0,0.0,4517,222,306.2201870857,0.0491,0.0678
2,0,45.0,25.98,3828,89,125.4393620467,0.0232,0.0328
2,1,45.0,51.96,484,3,15.197355127,0.0062,0.0314
3,-3,67.5,-38.97,1940,49,78.8701609175,0.0253,0.0407
3,-2,67.5,-12.99,9501,936,1070.4966642264,0.0985,0.1127
3,-1,67.5,12.99,7543,712,785.9931004109,0.0944,0.1042
3,0,67.5,38.97,2476,50,95.2221570916,0.0202,0.0385
4,-3,90.0,-25.98,973,28,57.446780302,0.0288,0.059
4,-2,90.0,0.0,10519,1347,1441.865387867,0.1281,0.1371
4,-1,90.0,25.98,2069,118,168.1624534405,0.057,0.0813
4,0,90.0,51.96,83,1,2.119766564,0.012,0.0255
