player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Jakub Dobes,MTL,G,8482487,792,44.0,69.48121643066406,25.48,0.42,52.85444641113281,5.459534645080566,0.9444,0.9123
Dan Vladar,PHI,G,8478435,489,23.0,38.17460632324219,15.17,0.09,29.950592041015625,1.9720399379730225,0.953,0.9219
Carter Hart,VGK,G,8479394,1018,59.0,77.6815185546875,18.68,0.08,63.323211669921875,1.4977779388427734,0.942,0.9237
Andrei Vasilevskiy,TBL,G,8476883,247,16.0,22.074108123779297,6.07,0.1,17.1513614654541,1.3401869535446167,0.9352,0.9106
Jesper Wallstedt,MIN,G,8482661,506,30.0,39.403316497802734,9.4,0.22,31.91748809814453,1.158090353012085,0.9407,0.9221
Scott Wedgewood,COL,G,8475809,391,25.0,29.761144638061523,4.76,0.07,23.7503604888916,1.140156626701355,0.9361,0.9239
Frederik Andersen,CAR,G,8475883,484,31.0,45.38426971435547,14.38,0.0,36.91554260253906,0.9553813934326172,0.936,0.9062
Jeremy Swayman,BOS,G,8480280,287,17.0,21.74232292175293,4.74,0.15,17.523422241210938,0.7516093254089355,0.9408,0.9242
Alex Lyon,BUF,G,8479312,305,20.0,26.21426773071289,6.21,0.2,21.333492279052734,0.6901388168334961,0.9344,0.9141
Jake Oettinger,DAL,G,8479979,259,19.0,19.561927795410156,0.56,0.12,15.859773635864258,0.5680042505264282,0.9266,0.9245
Anton Forsberg,LAK,G,8476341,192,11.0,13.803485870361328,2.8,0.01,11.008476257324219,0.5046029686927795,0.9427,0.9281
Brandon Bussi,CAR,G,8483548,150,6.0,13.811507225036621,7.81,0.17,11.211289405822754,0.4801287353038788,0.96,0.9079
Linus Ullmark,OTT,G,8476999,226,9.0,19.788490295410156,10.79,-0.08,15.990784645080566,0.43358129262924194,0.9602,0.9124
Mackenzie Blackwood,COL,G,8478406,124,8.0,10.183072090148926,2.18,0.05,8.187383651733398,0.34729817509651184,0.9355,0.9179
Karel Vejmelka,UTA,G,8478872,295,21.0,23.454593658447266,2.45,0.21,19.408048629760742,0.34494179487228394,0.9288,0.9205
Ukko-Pekka Luukkonen,BUF,G,8480045,224,17.0,19.24005889892578,2.24,0.18,16.0002384185791,0.20856782793998718,0.9241,0.9141
Filip Gustavsson,MIN,G,8479406,34,4.0,3.1625094413757324,-0.84,-0.0,2.6176276206970215,0.013839377090334892,0.8824,0.907
Joonas Korpisalo,BOS,G,8476914,9,0.0,0.6969857215881348,0.7,0.01,0.5788845419883728,0.012106413953006268,1.0,0.9226
Jacob Fowler,MTL,G,8484170,3,1.0,0.33952319622039795,-0.66,-0.0,0.27101701498031616,0.00996994785964489,0.6667,0.8868
Stuart Skinner,PIT,G,8479973,104,9.0,8.158172607421875,-0.84,-0.05,6.8069868087768555,-0.027962006628513336,0.9135,0.9216
Ville Husso,ANA,G,8478024,48,3.0,4.534139633178711,1.53,0.04,3.9157724380493164,-0.10440175235271454,0.9375,0.9055
Connor Ingram,EDM,G,8478971,236,19.0,17.241065979003906,-1.76,0.02,14.513427734375,-0.12144818902015686,0.9195,0.9269
Tristan Jarry,EDM,G,8477465,51,4.0,4.034635543823242,0.03,0.01,3.4915268421173096,-0.12251058220863342,0.9216,0.9209
Arturs Silovs,PIT,G,8481668,123,5.0,9.748491287231445,4.75,-0.03,8.256241798400879,-0.1607702374458313,0.9593,0.9207
Lukas Dostal,ANA,G,8480843,425,37.0,35.107276916503906,-1.89,0.24,29.940963745117188,-0.4387383460998535,0.9129,0.9174
