goalie_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8475809,Scott Wedgewood,COL,0,-1,0.0,-25.98,1,0,0.013157869,0.010725765949808454,0.0107,0.0107
8475809,Scott Wedgewood,COL,0,1,0.0,25.98,1,0,0.010184534,0.008574611638681132,0.0086,0.0086
8475809,Scott Wedgewood,COL,1,-2,22.5,-38.97,3,0,0.055212329000000004,0.04576725795407795,0.0458,0.0153
8475809,Scott Wedgewood,COL,1,-1,22.5,-12.99,4,0,0.114835335,0.09365457513233978,0.0937,0.0234
8475809,Scott Wedgewood,COL,1,0,22.5,12.99,3,0,0.077623092,0.06345113081369044,0.0635,0.0212
8475809,Scott Wedgewood,COL,1,1,22.5,38.97,1,0,0.022289723,0.018514970550175897,0.0185,0.0185
8475809,Scott Wedgewood,COL,2,-3,45.0,-51.96,1,0,0.019678181,0.01623893523467878,0.0162,0.0162
8475809,Scott Wedgewood,COL,2,-2,45.0,-25.98,13,0,0.46700510900000003,0.3806042905024759,0.3806,0.0293
8475809,Scott Wedgewood,COL,2,-1,45.0,0.0,13,2,0.856800253,0.6938560036184563,-1.3061,-0.1005
8475809,Scott Wedgewood,COL,2,0,45.0,25.98,8,1,0.249375347,0.20256302543413257,-0.7974,-0.0997
8475809,Scott Wedgewood,COL,2,1,45.0,51.96,2,0,0.046874469,0.038077045713000635,0.0381,0.019
8475809,Scott Wedgewood,COL,3,-3,67.5,-38.97,6,0,0.18461476500000001,0.15266395268322697,0.1527,0.0254
8475809,Scott Wedgewood,COL,3,-2,67.5,-12.99,22,2,2.596616411,2.130548220192539,0.1305,0.0059
8475809,Scott Wedgewood,COL,3,-1,67.5,12.99,5,0,0.580149942,0.4757073754300543,0.4757,0.0951
8475809,Scott Wedgewood,COL,3,0,67.5,38.97,7,0,0.237833127,0.19448411941313612,0.1945,0.0278
8475809,Scott Wedgewood,COL,4,-3,90.0,-25.98,2,0,0.08496958,0.0688513635760262,0.0689,0.0344
8475809,Scott Wedgewood,COL,4,-2,90.0,0.0,31,6,4.4186160359999995,3.610522170359802,-2.3895,-0.0771
8475809,Scott Wedgewood,COL,4,-1,90.0,25.98,5,0,0.487976654,0.39863744595773454,0.3986,0.0797
8475883,Frederik Andersen,CAR,0,-1,0.0,-25.98,1,0,0.007877765,0.006566681420365834,0.0066,0.0066
8475883,Frederik Andersen,CAR,0,0,0.0,0.0,1,0,0.023681361,0.019239933273333336,0.0192,0.0192
8475883,Frederik Andersen,CAR,0,1,0.0,25.98,1,0,0.013329593,0.011027630737820005,0.011,0.011
8475883,Frederik Andersen,CAR,1,-2,22.5,-38.97,4,0,0.08089402899999999,0.06651642683608966,0.0665,0.0166
8475883,Frederik Andersen,CAR,1,-1,22.5,-12.99,5,0,0.6107777005,0.5196172981950143,0.5196,0.1039
8475883,Frederik Andersen,CAR,1,0,22.5,12.99,3,0,0.108367761,0.08932294372987867,0.0893,0.0298
8475883,Frederik Andersen,CAR,1,1,22.5,38.97,6,0,0.152667299,0.1246739740129947,0.1247,0.0208
8475883,Frederik Andersen,CAR,2,-3,45.0,-51.96,2,0,0.038389036,0.031609192307516625,0.0316,0.0158
8475883,Frederik Andersen,CAR,2,-2,45.0,-25.98,15,1,0.569566779,0.4687098595640317,-0.5313,-0.0354
8475883,Frederik Andersen,CAR,2,-1,45.0,0.0,15,0,1.20139855,0.9777271234828155,0.9777,0.0652
8475883,Frederik Andersen,CAR,2,0,45.0,25.98,21,0,0.6873821649999999,0.5647444866941873,0.5647,0.0269
8475883,Frederik Andersen,CAR,2,1,45.0,51.96,3,0,0.056286985,0.04735478544901847,0.0474,0.0158
8475883,Frederik Andersen,CAR,3,-3,67.5,-38.97,17,1,0.717754386,0.5939859522700232,-0.406,-0.0239
8475883,Frederik Andersen,CAR,3,-2,67.5,-12.99,35,2,4.17904342,3.4154502958039954,1.4155,0.0404
8475883,Frederik Andersen,CAR,3,-1,67.5,12.99,24,1,3.241413747,2.6450896075525945,1.6451,0.0685
8475883,Frederik Andersen,CAR,3,0,67.5,38.97,8,0,0.261536318,0.21475207307578548,0.2148,0.0268
8475883,Frederik Andersen,CAR,4,-3,90.0,-25.98,4,1,0.148734994,0.12366291436218495,-0.8763,-0.2191
8475883,Frederik Andersen,CAR,4,-2,90.0,0.0,40,5,6.813378215,5.606696718913388,0.6067,0.0152
8475883,Frederik Andersen,CAR,4,-1,90.0,25.98,9,1,0.9502036490000001,0.7737594201022319,-0.2262,-0.0251
8475883,Frederik Andersen,CAR,4,0,90.0,51.96,1,0,0.025004424,0.020080058050657844,0.0201,0.0201
8476341,Anton Forsberg,LAK,0,-1,0.0,-25.98,1,0,0.028649358,0.02366644069507222,0.0237,0.0237
8476341,Anton Forsberg,LAK,0,1,0.0,25.98,1,0,0.009267194,0.007635592440922485,0.0076,0.0076
8476341,Anton Forsberg,LAK,1,-2,22.5,-38.97,3,0,0.063671222,0.05195127776595303,0.052,0.0173
8476341,Anton Forsberg,LAK,1,-1,22.5,-12.99,4,0,0.119314968,0.0970622449490513,0.0971,0.0243
8476341,Anton Forsberg,LAK,1,0,22.5,12.99,3,0,0.078636446,0.06363708476338867,0.0636,0.0212
8476341,Anton Forsberg,LAK,1,1,22.5,38.97,2,0,0.033105322,0.026936915085562327,0.0269,0.0134
8476341,Anton Forsberg,LAK,2,-3,45.0,-51.96,1,0,0.019047536,0.015528137947655743,0.0155,0.0155
8476341,Anton Forsberg,LAK,2,-2,45.0,-25.98,3,0,0.088430327,0.07200843934983406,0.072,0.024
8476341,Anton Forsberg,LAK,2,-1,45.0,0.0,10,1,0.651450141,0.5302291181452113,-0.4698,-0.047
8476341,Anton Forsberg,LAK,2,0,45.0,25.98,6,0,0.174746112,0.1428927314153998,0.1429,0.0238
8476341,Anton Forsberg,LAK,3,-2,67.5,-12.99,14,1,1.479638968,1.2036574621283906,0.2037,0.0146
8476341,Anton Forsberg,LAK,3,-1,67.5,12.99,13,0,1.4998343263,1.2279269857972162,1.2279,0.0945
8476341,Anton Forsberg,LAK,3,0,67.5,38.97,2,0,0.093838483,0.07517063358468279,0.0752,0.0376
8476341,Anton Forsberg,LAK,4,-3,90.0,-25.98,1,0,0.026101049,0.021172025868275032,0.0212,0.0212
8476341,Anton Forsberg,LAK,4,-2,90.0,0.0,7,2,0.9499214460000001,0.7730346563007843,-1.227,-0.1753
8476883,Andrei Vasilevskiy,TBL,1,-2,22.5,-38.97,1,0,0.026460351,0.020756101033263263,0.0208,0.0208
8476883,Andrei Vasilevskiy,TBL,1,0,22.5,12.99,4,0,0.150378276,0.11758653484240067,0.1176,0.0294
8476883,Andrei Vasilevskiy,TBL,1,1,22.5,38.97,3,0,0.083566118,0.06648005549843145,0.0665,0.0222
8476883,Andrei Vasilevskiy,TBL,2,-2,45.0,-25.98,10,1,0.492380261,0.386378867419179,-0.6136,-0.0614
8476883,Andrei Vasilevskiy,TBL,2,-1,45.0,0.0,9,0,0.671075578,0.5248190304930888,0.5248,0.0583
