hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,goal_rate,xg_rate
0,-2,0.0,-51.96,6,0,0.159893835,0.0,0.0266
0,-1,0.0,-25.98,14,0,0.3190500907,0.0,0.0228
0,0,0.0,0.0,5,0,0.162048227,0.0,0.0324
0,1,0.0,25.98,19,0,0.774861549,0.0,0.0408
1,-2,22.5,-38.97,83,0,2.179008344,0.0,0.0263
1,-1,22.5,-12.99,76,1,3.3181266265,0.0132,0.0437
1,0,22.5,12.99,63,2,2.457675457,0.0317,0.039
1,1,22.5,38.97,46,0,1.6763595435,0.0,0.0364
2,-3,45.0,-51.96,33,1,0.691322634,0.0303,0.0209
2,-2,45.0,-25.98,286,11,12.509396243,0.0385,0.0437
2,-1,45.0,0.0,290,14,20.4028987303,0.0483,0.0704
2,0,45.0,25.98,257,8,9.1740691305,0.0311,0.0357
2,1,45.0,51.96,32,0,0.666412886,0.0,0.0208
3,-3,67.5,-38.97,155,5,6.9825722845,0.0323,0.045
3,-2,67.5,-12.99,553,51,61.5140697773,0.0922,0.1112
3,-1,67.5,12.99,434,30,45.5286829207,0.0691,0.1049
3,0,67.5,38.97,172,2,6.119003427,0.0116,0.0356
4,-3,90.0,-25.98,78,3,3.951860733,0.0385,0.0507
4,-2,90.0,0.0,613,66,84.241318585,0.1077,0.1374
4,-1,90.0,25.98,115,9,9.561230463,0.0783,0.0831
4,0,90.0,51.96,3,0,0.071186624,0.0,0.0237
