player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Ryan Suter,,D,8470600,-1.2894368239813048e-07,0.0002190800878452137,0.00013989860599394888,0.00021929750801064074,,,,,,
Brent Burns,COL,D,8470613,-1.3352187977488938e-07,0.007482392713427544,0.004256941378116608,0.007660834118723869,202.0,9.0,8.748,0.252,0.039,0.043
Corey Perry,LAK,R,8470621,3.916127013781079e-07,-0.006359199061989784,-0.006359199061989784,-0.0029806888196617365,128.0,10.0,13.606,-3.606,0.029,-0.0506
Alex Ovechkin,WSH,L,8471214,4.573201124458137e-07,-0.005821811500936747,-0.005821811500936747,-0.003916972782462835,294.0,19.0,25.146,-6.146,-0.065,-0.0961
Evgeni Malkin,PIT,C,8471215,-8.156679598414485e-08,-0.007511775009334087,-0.007511775009334087,-0.00526833813637495,171.0,12.0,17.161,-5.161,0.038,-0.0829
Sidney Crosby,PIT,C,8471675,7.403206723211042e-07,0.03618956357240677,0.028822418302297592,0.03665747493505478,201.0,30.0,21.608,8.392,0.029,0.5454
Jack Johnson,,D,8471677,2.2248036657401826e-07,0.00010443745122756809,2.8456641302909702e-05,0.00010465487139299512,3.0,0.0,0.054,-0.054,-0.0,-0.0
Anze Kopitar,LAK,C,8471685,4.07717379857786e-07,-0.006438169628381729,-0.006438169628381729,-0.004448082763701677,98.0,6.0,9.532,-3.532,-0.008,-0.0386
Marc-Edouard Vlasic,,D,8471709,-0.00015178225294221193,0.0002192410611314699,0.00010166452557314187,0.0002194584667449817,,,,,,
Kris Letang,PIT,D,8471724,1.6466406123072375e-06,-0.013170971535146236,-0.013170971535146236,-0.009080911055207253,135.0,3.0,8.128,-5.128,0.002,-0.0731
Ryan Reaves,SJS,R,8471817,1.5484365576412529e-06,0.00016449422400910407,0.00016172743926290423,0.0008698143647052348,37.0,3.0,3.346,-0.346,-0.025,0.0007
Brad Marchand,FLA,L,8473419,3.236075599488686e-06,0.029155759140849113,0.021500684320926666,0.029169835150241852,211.0,26.0,20.743,5.257,-0.125,0.4119
Nick Foligno,CHI,L,8473422,0.00011238265869906172,0.002718902425840497,0.0009194033918902278,0.0027285446412861347,46.0,5.0,5.635,-0.635,-0.039,0.0058
Erik Johnson,,D,8473446,-3.2389770865393075e-08,0.0002191911480622366,0.00014000611554365605,0.00021940848091617227,,,,,,
Trevor Lewis,,C,8473453,-5.5664727938165015e-08,0.00021916408149991184,0.00013997999485582113,0.00021938147256150842,,,,,,
Milan Lucic,,L,8473473,5.35819235665258e-05,0.002449232153594494,0.0021864951122552156,0.002449455438181758,2.0,1.0,0.216,0.784,0.002,0.0004
Jeff Petry,FLA,D,8473507,-8.706986136530759e-07,-0.008458812721073627,-0.008461952209472656,-0.004954406060278416,88.0,1.0,3.727,-2.727,-0.03,-0.0216
Claude Giroux,OTT,R,8473512,4.788190835824935e-06,-0.0038250372745096684,-0.0038250372745096684,-0.002899837912991643,141.0,9.0,12.405,-3.405,-0.024,-0.0339
Jordan Staal,CAR,C,8473533,1.3417813704563741e-07,0.009614061564207077,0.0073885382153093815,0.009653785265982151,132.0,14.0,13.314,0.686,-0.002,0.0871
Nikolay Kulemin,,L,8473579,-9.405567652720492e-06,0.00021463957091327757,0.00013380161544773728,0.00022158402134664357,,,,,,
Jonathan Toews,WPG,C,8473604,2.384417257417226e-06,-0.010333798825740814,-0.010333798825740814,-0.00755792111158371,122.0,7.0,12.337,-5.337,-0.041,-0.0877
Alex Killorn,ANA,L,8473986,8.504807738063391e-07,-0.01334383711218834,-0.013686997815966606,-0.010516742244362831,170.0,8.0,15.036,-7.036,-0.021,-0.1467
Jamie Benn,DAL,L,8473994,1.4662124385722564e-06,0.011390279978513718,0.00697183795273304,0.011390279978513718,63.0,9.0,7.455,1.545,0.054,0.0558
Ian Cole,UTA,D,8474013,-2.659943731941894e-07,-0.008030022494494915,-0.008030022494494915,-0.004946745000779629,84.0,2.0,4.887,-2.887,0.016,-0.0262
Patrick Maroon,,L,8474034,-1.8002450019594107e-07,0.00021901917352806777,0.0001398397726006806,0.00021923609892837703,,,,,,
James van Riemsdyk,DET,L,8474037,9.563277671986725e-07,0.01079756859689951,0.00646329065784812,0.01099893543869257,133.0,15.0,14.942,0.058,-0.003,0.102
Sam Gagner,,C,8474040,1.8290801762077535e-08,0.0002192461397498846,0.00014006013225298375,0.00021946367633063346,,,,,,
Chris Terry,,L,8474052,6.144174676592229e-06,0.00251832976937294,0.002353744814172387,0.0025237377267330885,2.0,1.0,0.136,0.864,0.002,0.0002
Brendan Smith,CBJ,D,8474090,-9.87552226661137e-08,-0.0015002686996012926,-0.0015087696956470609,-0.0010752979433164,12.0,0.0,0.585,-0.585,0.003,-0.0007
David Perron,OTT,L,8474102,6.735239730915055e-05,0.009806452319025993,0.006533557083457708,0.009817325510084629,102.0,11.0,10.175,0.825,-0.03,0.0636
Patrick Kane,DET,R,8474141,4.624993721336068e-08,-0.009859719313681126,-0.00986525509506464,-0.0055619049817323685,179.0,11.0,16.141,-5.141,0.04,-0.1058
Robert Bortuzzo,,D,8474145,-0.00013311656948644668,0.0002191594976466149,0.00013019611651543528,0.0002194341941503808,,,,,,
Evgenii Dadonov,NJD,L,8474149,9.473488660205476e-08,-0.0028849842492491007,-0.0028867865912616253,-0.0010830159299075603,25.0,1.0,1.812,-0.812,-0.003,-0.0035
Mikael Backlund,CGY,C,8474150,4.919007551507093e-05,-0.015603344887495041,-0.015603344887495041,-0.009389729239046574,211.0,9.0,15.586,-6.586,0.067,-0.1575
Ryan McDonagh,TBL,D,8474151,-1.1194450699747449e-08,0.005567076150327921,0.005258078221231699,0.006084967404603958,45.0,4.0,2.362,1.638,-0.014,0.0101
Max Pacioretty,,L,8474157,9.274082835020181e-09,0.00021922188170719892,0.00014002482930663973,0.00021945072512608021,,,,,,
Alec Martinez,,D,8474166,1.6268560898424766e-07,0.00021910536452196538,0.00013981711526867002,0.0002196614514105022,,,,,,
Lars Eller,OTT,C,8474189,7.383617230516393e-06,-0.013242139481008053,-0.013242139481008053,-0.0083275455981493,66.0,2.0,6.572,-4.572,0.012,-0.0552
Drew Doughty,LAK,D,8474563,-7.733215170446783e-05,-0.008610413409769535,-0.008610413409769535,-0.005596300587058067,113.0,2.0,5.235,-3.235,-0.005,-0.0319
Steven Stamkos,NSH,C,8474564,7.010049216660263e-07,0.028308415785431862,0.016512563452124596,0.028409555554389954,220.0,26.0,22.979,3.021,0.008,0.4055
Alex Pietrangelo,VGK,D,8474565,-1.797239974621334e-07,0.00021902137086726725,0.00013984189718030393,0.00021923879103269428,,,,,,
Zach Bogosian,MIN,D,8474567,2.0535142539301887e-05,-0.0009132108534686267,-0.0009132108534686267,-0.0006112377159297466,40.0,1.0,1.575,-0.575,0.003,-0.0011
Luke Schenn,WPG,D,8474568,-8.241056093538646e-06,-0.0016396334394812584,-0.0018319592345505953,-0.0015579797327518463,55.0,1.0,2.03,-1.03,0.005,-0.0031
Tyler Myers,DAL,D,8474574,-4.1670273276395164e-06,-0.01089444663375616,-0.010896215215325356,-0.0064860749989748,119.0,2.0,5.628,-3.628,0.037,-0.0425
Erik Karlsson,PIT,D,8474578,-2.725857655150321e-07,-0.013002440333366394,-0.013063423335552216,-0.00983256846666336,205.0,5.0,10.969,-5.969,0.018,-0.1052
Jordan Eberle,SEA,R,8474586,-6.5298245317535475e-06,-0.000785415933933109,-0.0024756130296736956,-0.0007628209423273802,200.0,17.0,21.775,-4.775,-0.046,-0.0295
John Carlson,WSH,D,8474590,-4.758210707223043e-05,-0.010198058560490608,-0.010200070217251778,-0.00616446603089571,181.0,8.0,12.854,-4.854,-0.032,-0.0812
Jacob Markstrom,NJD,G,8474593,-4.125423629375291e-07,0.00022172358876559883,0.00013769284123554826,0.00022172358876559883,,,,,,
Jake Allen,NJD,G,8474596,-3.1854773396844394e-07,0.00021892729273531586,0.0001402425259584561,0.0002194921689806506,,,,,,
Roman Josi,NSH,D,8474600,-2.3408476579334092e-07,0.0030332196038216352,0.0007389335660263896,0.0031837879214435816,200.0,11.0,13.066,-2.066,-0.06,0.0224
Zac Dalpe,,C,8474610,3.154916683456577e-08,0.00021926457702647895,0.0001400771870976314,0.00021948196808807552,,,,,,
Travis Hamonic,DET,D,8474612,-1.6540640217499458e-06,-0.003242886159569025,-0.003248489461839199,-0.002616280922666192,33.0,0.0,1.304,-1.304,0.023,-0.0033
Adam Henrique,EDM,C,8474641,-2.9592510486509127e-07,-0.020324287936091423,-0.020324287936091423,-0.014595571905374527,96.0,1.0,8.528,-7.528,-0.032,-0.1167
TJ Brodie,,D,8474673,3.099642542636616e-09,0.0002192319225287065,0.00014004556578584015,0.00021944931359030306,,,,,,
Gustav Nyquist,WPG,R,8474679,-4.017857122562418e-07,-0.016395017504692078,-0.016395017504692078,-0.011264439672231674,76.0,1.0,6.824,-5.824,-0.008,-0.0739
Matt Martin,,L,8474709,-6.908891236889758e-08,0.00021903347806073725,0.00013992204912938178,0.00021934238611720502,,,,,,
Cam Atkinson,,R,8474715,-3.304932150172135e-08,0.00021918911079410464,0.00014000358351040632,0.0002194065018557012,,,,,,
Jared Spurgeon,MIN,D,8474716,1.941469491839598e-07,0.004851647187024355,0.0021373999770730734,0.00486691715195775,107.0,6.0,6.242,-0.242,0.019,0.016
Tyler Johnson,,C,8474870,1.202331478822316e-08,0.00021923633175902069,0.00014005161938257515,0.00021945372282061726,,,,,,
Mike Hoffman,,C,8474884,-3.7426680137286894e-06,0.00021925463806837797,0.00013872254930902272,0.0002194720000261441,,,,,,
Marcus Johansson,MIN,L,8475149,-9.994291616521878e-08,0.004731351509690285,0.004731351509690285,0.006352737080305815,118.0,12.0,11.943,0.057,0.043,0.0487
Kyle Palmieri,NYI,C,8475151,3.1033905543154106e-06,-0.0054842461831867695,-0.005500889383256435,-0.003854917362332344,113.0,9.0,12.829,-3.829,0.016,-0.0477
Ryan O'Reilly,NSH,C,8475158,0.00016622318071313202,0.01957293041050434,0.012608771212399006,0.019630881026387215,186.0,24.0,22.732,1.268,-0.104,0.2825
Alex Chiasson,,R,8475163,-1.8871105567086488e-05,0.00021871218632441014,0.00011307581007713452,0.00021969398949295282,,,,,,
John Tavares,TOR,C,8475166,8.094446457107551e-06,0.0007537886849604547,6.384302105288953e-05,0.002077709184959531,224.0,21.0,24.528,-3.528,-0.01,0.0122
Victor Hedman,TBL,D,8475167,-1.3636604023758991e-07,-0.004328625742346048,-0.004937079735100269,-0.004251761827617884,68.0,1.0,3.363,-2.363,-0.011,-0.0127
Matt Duchene,DAL,C,8475168,-4.5150558435125276e-05,0.013009813614189625,0.006488893646746874,0.013009813614189625,89.0,12.0,11.222,0.778,0.049,0.0862
Evander Kane,VAN,L,8475169,6.472768291132525e-06,-0.00878699216991663,-0.00954363588243723,-0.007894836366176605,233.0,11.0,17.372,-6.372,-0.029,-0.1213
Brayden Schenn,STL,C,8475170,2.5718138658703538e-06,0.007596184033900499,0.004959356505423784,0.007682319264858961,130.0,13.0,13.343,-0.343,-0.018,0.0637
Oliver Ekman-Larsson,TOR,D,8475171,3.339204965868703e-07,0.00579714635387063,0.004258986096829176,0.006447785999625921,139.0,8.0,7.646,0.354,-0.022,0.0325
Nazem Kadri,CGY,C,8475172,-6.035623300704174e-05,-0.01946892775595188,-0.019561704248189926,-0.013712499290704727,273.0,17.0,27.565,-10.565,0.056,-0.3599
Calvin de Haan,,D,8475177,3.755003064043194e-08,0.00021899337298236787,0.00014007995196152478,0.00021933460084255785,,,,,,
Dmitry Kulikov,FLA,D,8475179,-1.6665918423086623e-08,-0.0010390300303697586,-0.0010390300303697586,-0.0009140417096205056,9.0,0.0,0.515,-0.515,-0.003,-0.0005
Nick Leddy,SJS,D,8475181,4.39172390542808e-06,-0.0021559828892350197,-0.002161527518182993,-0.0015996048459783196,13.0,0.0,0.849,-0.849,-0.005,-0.0014
Chris Kreider,ANA,L,8475184,8.648476978123654e-06,0.016067227348685265,0.011969758197665215,0.016073890030384064,168.0,19.0,17.084,1.916,-0.032,0.1806
Brayden McNabb,VGK,D,8475188,-1.0679335815666491e-07,-0.006288593634963036,-0.006288593634963036,-0.004808609839528799,82.0,2.0,4.818,-2.818,-0.01,-0.0219
Reilly Smith,VGK,R,8475191,-2.5101528535742546e-06,0.0025046207010746002,0.0008782611694186926,0.0027880046982318163,120.0,10.0,11.77,-1.77,-0.044,0.0164
Tomas Tatar,,L,8475193,-5.9300816701579606e-08,0.0002191600069636479,0.00013997600763104856,0.0002193774125771597,,,,,,
Tyson Barrie,,D,8475197,-4.914581630544035e-09,0.00021923278109170496,0.00014004361582919955,0.00021945017215330154,,,,,,
Dmitry Orlov,SJS,D,8475200,3.83890510420315e-05,-0.0073700034990906715,-0.0073700034990906715,-0.0045036813244223595,102.0,2.0,4.722,-2.722,-0.024,-0.0238
