player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Logan Thompson,WSH,G,8480313,1957,99.0,162.7691650390625,63.77,-0.06,121.74850463867188,8.337708473205566,0.9494,0.9168
Jeremy Swayman,BOS,G,8480280,1811,89.0,147.2242431640625,58.22,0.02,109.9860610961914,7.640085220336914,0.9509,0.9187
Dan Vladar,PHI,G,8478435,1568,75.0,120.3682632446289,45.37,0.04,90.88471984863281,4.880620956420898,0.9522,0.9232
Ilya Sorokin,NYI,G,8478009,1856,102.0,148.49264526367188,46.49,0.01,113.77726745605469,4.433408260345459,0.945,0.92
Jakub Dobes,MTL,G,8482487,1377,75.0,116.55899047851562,41.56,0.01,89.04380798339844,4.378686904907227,0.9455,0.9154
Jet Greaves,CBJ,G,8482982,1922,103.0,146.728759765625,43.73,0.04,113.01538848876953,3.817042827606201,0.9464,0.9237
Igor Shesterkin,NYR,G,8478048,1651,85.0,126.50602722167969,41.51,0.13,97.16258239746094,3.6315934658050537,0.9485,0.9234
Anton Forsberg,LAK,G,8476341,1184,55.0,90.23818969726562,35.24,-0.01,68.52525329589844,3.284228801727295,0.9535,0.9238
Jake Oettinger,DAL,G,8479979,1666,97.0,137.1736297607422,40.17,0.11,106.70156860351562,3.0949268341064453,0.9418,0.9177
Andrei Vasilevskiy,TBL,G,8476883,1666,94.0,132.41250610351562,38.41,0.05,102.81031036376953,2.924966335296631,0.9436,0.9205
Philipp Grubauer,SEA,G,8475831,1125,55.0,87.65838623046875,32.66,0.06,67.21177673339844,2.719926357269287,0.9511,0.9221
John Gibson,DET,G,8476434,1811,107.0,144.79071044921875,37.79,0.05,112.5513687133789,2.715348482131958,0.9409,0.92
Scott Wedgewood,COL,G,8475809,1342,66.0,99.60191345214844,33.6,0.03,76.61051940917969,2.6528029441833496,0.9508,0.9258
Joey Daccord,SEA,G,8478916,1679,90.0,125.44434356689453,35.44,0.06,97.626220703125,1.9918437004089355,0.9464,0.9253
Brandon Bussi,CAR,G,8483548,1066,63.0,92.23847961425781,29.24,0.01,71.93397521972656,1.9251316785812378,0.9409,0.9135
Stuart Skinner,PIT,G,8479973,1678,103.0,137.12255859375,34.12,-0.05,107.51750183105469,1.8025882244110107,0.9386,0.9183
Spencer Knight,CHI,G,8481519,2078,127.0,168.10617065429688,41.11,-0.03,132.49635314941406,1.659658670425415,0.9389,0.9191
Mackenzie Blackwood,COL,G,8478406,1105,60.0,85.77415466308594,25.77,0.03,66.84295654296875,1.5200083255767822,0.9457,0.9224
Casey DeSmith,DAL,G,8479193,947,51.0,75.48672485351562,24.49,0.07,58.72301483154297,1.4556488990783691,0.9461,0.9203
Justus Annunen,NSH,G,8481020,918,52.0,73.34907531738281,21.35,0.03,57.1429328918457,1.3899784088134766,0.9434,0.9201
Alex Lyon,BUF,G,8479312,1166,68.0,92.82027435302734,24.82,-0.01,72.80593872070312,1.2769758701324463,0.9417,0.9204
Ukko-Pekka Luukkonen,BUF,G,8480045,1071,58.0,79.29029846191406,21.29,-0.02,61.862098693847656,1.076144814491272,0.9458,0.926
Jesper Wallstedt,MIN,G,8482661,1275,67.0,92.4897689819336,25.49,0.06,72.27378845214844,1.0244426727294922,0.9475,0.9275
Jacob Fowler,MTL,G,8484170,545,31.0,49.073997497558594,18.07,0.01,38.481407165527344,0.988827109336853,0.9431,0.91
Karel Vejmelka,UTA,G,8478872,1923,122.0,154.37698364257812,32.38,-0.06,122.24888610839844,0.9586480259895325,0.9366,0.9197
Lukas Dostal,ANA,G,8480843,1819,115.0,148.74285888671875,33.74,0.05,117.7940673828125,0.9417465925216675,0.9368,0.9182
Akira Schmid,VGK,G,8481033,1108,60.0,82.89623260498047,22.9,0.0,65.01969146728516,0.9157094955444336,0.9458,0.9252
Joel Hofer,STL,G,8480981,1528,89.0,114.46275329589844,25.46,0.03,90.10045623779297,0.8973108530044556,0.9418,0.9251
Jake Allen,NJD,G,8474596,1399,87.0,114.20326232910156,27.2,0.09,90.3582763671875,0.825583815574646,0.9378,0.9184
Dennis Hildeby,TOR,G,8483710,756,42.0,59.021095275878906,17.02,0.03,46.51313781738281,0.6190717220306396,0.9444,0.9219
