hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,goal_rate,xg_rate
0,-2,0.0,-51.96,70,0,3.8823787929,0.0,0.0555
0,-1,0.0,-25.98,140,0,6.9046656198,0.0,0.0493
0,0,0.0,0.0,141,0,5.9568845748,0.0,0.0422
0,1,0.0,25.98,179,0,7.4072101031,0.0,0.0414
0,2,0.0,51.96,5,0,0.1378080615,0.0,0.0276
1,-2,22.5,-38.97,1154,5,33.3681968032,0.0043,0.0289
1,-1,22.5,-12.99,1194,25,47.3859901705,0.0209,0.0397
1,0,22.5,12.99,1065,21,34.5120065978,0.0197,0.0324
1,1,22.5,38.97,689,4,19.5559961486,0.0058,0.0284
2,-3,45.0,-51.96,366,3,8.980835081,0.0082,0.0245
2,-2,45.0,-25.98,3478,86,134.7464116488,0.0247,0.0387
2,-1,45.0,0.0,3237,150,214.4056882443,0.0463,0.0662
2,0,45.0,25.98,3093,55,94.7821704855,0.0178,0.0306
2,1,45.0,51.96,439,3,13.380228415,0.0068,0.0305
3,-3,67.5,-38.97,1612,35,58.7500180485,0.0217,0.0364
3,-2,67.5,-12.99,7019,666,780.4945077573,0.0949,0.1112
3,-1,67.5,12.99,5644,538,578.3115135409,0.0953,0.1025
3,0,67.5,38.97,1975,34,67.1869184082,0.0172,0.034
4,-3,90.0,-25.98,766,22,43.761810149,0.0287,0.0571
4,-2,90.0,0.0,7581,938,1026.479920882,0.1237,0.1354
4,-1,90.0,25.98,1585,78,123.612304617,0.0492,0.078
4,0,90.0,51.96,73,0,1.618137972,0.0,0.0222
