player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Jakub Dobes,MTL,G,8482487,607,31.0,50.97944259643555,19.98,0.24,37.48622512817383,3.571704864501953,0.9489,0.916
Dan Vladar,PHI,G,8478435,386,15.0,28.17095184326172,13.17,0.02,20.563304901123047,1.8869712352752686,0.9611,0.927
Jesper Wallstedt,MIN,G,8482661,407,16.0,28.462377548217773,12.46,-0.01,21.733705520629883,0.845808744430542,0.9607,0.9301
Jeremy Swayman,BOS,G,8480280,206,15.0,14.791810989379883,-0.21,0.1,11.1809720993042,0.6404621601104736,0.9272,0.9282
Scott Wedgewood,COL,G,8475809,308,17.0,21.41020965576172,4.41,0.04,16.436599731445312,0.609710693359375,0.9448,0.9305
Andrei Vasilevskiy,TBL,G,8476883,183,11.0,14.5771484375,3.58,0.04,11.127330780029297,0.5525317788124084,0.9399,0.9203
Anton Forsberg,LAK,G,8476341,167,9.0,11.29414176940918,2.29,0.02,8.45495319366455,0.4951825737953186,0.9461,0.9324
Frederik Andersen,CAR,G,8475883,397,24.0,34.940460205078125,10.94,0.01,27.757091522216797,0.4017794132232666,0.9395,0.912
Karel Vejmelka,UTA,G,8478872,243,14.0,17.809738159179688,3.81,0.09,13.825801849365234,0.38654375076293945,0.9424,0.9267
Alex Lyon,BUF,G,8479312,225,13.0,17.912952423095703,4.91,0.11,14.071109771728516,0.3209964632987976,0.9422,0.9204
Jake Oettinger,DAL,G,8479979,196,15.0,13.983196258544922,-1.02,0.02,10.892539978027344,0.28083184361457825,0.9235,0.9287
Brandon Bussi,CAR,G,8483548,109,5.0,8.598605155944824,3.6,0.07,6.660971164703369,0.25711512565612793,0.9541,0.9211
Lukas Dostal,ANA,G,8480843,348,26.0,26.34844207763672,0.35,0.08,20.936725616455078,0.1426999568939209,0.9253,0.9243
Mackenzie Blackwood,COL,G,8478406,92,6.0,7.047799587249756,1.05,0.0,5.470097541809082,0.13836556673049927,0.9348,0.9234
Ukko-Pekka Luukkonen,BUF,G,8480045,175,12.0,14.39502239227295,2.4,0.14,11.556915283203125,0.09800596535205841,0.9314,0.9177
Stuart Skinner,PIT,G,8479973,76,6.0,5.273721218109131,-0.73,0.0,4.127561569213867,0.06640513241291046,0.9211,0.9306
Filip Gustavsson,MIN,G,8479406,20,2.0,1.3407714366912842,-0.66,-0.0,1.0481572151184082,0.006857205182313919,0.9,0.933
Jacob Fowler,MTL,G,8484170,2,0.0,0.25196248292922974,0.25,-0.0,0.2014104723930359,0.005890367552638054,1.0,0.874
Joonas Korpisalo,BOS,G,8476914,6,0.0,0.5341914892196655,0.53,0.01,0.42708566784858704,0.0056901127099990845,1.0,0.911
Linus Ullmark,OTT,G,8476999,179,7.0,14.24221134185791,7.24,-0.06,11.358785629272461,-0.016651500016450882,0.9609,0.9204
Tristan Jarry,EDM,G,8477465,39,2.0,2.9167208671569824,0.92,0.01,2.3797452449798584,-0.054176315665245056,0.9487,0.9252
Ville Husso,ANA,G,8478024,38,2.0,3.5276362895965576,1.53,0.03,2.9281914234161377,-0.05508743226528168,0.9474,0.9072
Connor Ingram,EDM,G,8478971,199,12.0,13.021625518798828,1.02,0.01,10.429398536682129,-0.16984900832176208,0.9397,0.9346
Arturs Silovs,PIT,G,8481668,94,5.0,7.109229564666748,2.11,0.01,5.908697605133057,-0.2342129349708557,0.9468,0.9244
Carter Hart,VGK,G,8479394,815,45.0,56.525367736816406,11.53,0.08,45.1654052734375,-0.3667454123497009,0.9448,0.9306
