hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,goal_rate,xg_rate
0,-2,0.0,-51.96,6,0,0.159893835,0.0,0.0266
0,-1,0.0,-25.98,13,0,0.1739997707,0.0,0.0134
0,0,0.0,0.0,5,0,0.162048227,0.0,0.0324
0,1,0.0,25.98,16,0,0.335680855,0.0,0.021
1,-2,22.5,-38.97,79,0,2.087414059,0.0,0.0264
1,-1,22.5,-12.99,63,1,2.2838873375,0.0159,0.0363
1,0,22.5,12.99,50,1,1.469138272,0.02,0.0294
1,1,22.5,38.97,42,0,1.3491646975,0.0,0.0321
2,-3,45.0,-51.96,31,1,0.652307242,0.0323,0.021
2,-2,45.0,-25.98,232,6,9.012295876,0.0259,0.0388
2,-1,45.0,0.0,213,12,14.837989112,0.0563,0.0697
2,0,45.0,25.98,209,5,6.8445760045,0.0239,0.0327
2,1,45.0,51.96,31,0,0.64803417,0.0,0.0209
3,-3,67.5,-38.97,126,3,4.7552675695,0.0238,0.0377
3,-2,67.5,-12.99,427,37,45.0859439293,0.0867,0.1056
3,-1,67.5,12.99,321,23,32.2603529682,0.0717,0.1005
3,0,67.5,38.97,147,2,4.716837074,0.0136,0.0321
4,-3,90.0,-25.98,68,3,3.46546133,0.0441,0.051
4,-2,90.0,0.0,455,47,61.914267906,0.1033,0.1361
4,-1,90.0,25.98,89,7,7.223944484,0.0787,0.0812
4,0,90.0,51.96,3,0,0.071186624,0.0,0.0237
