player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Ryan Suter,,D,8470600,-0.007027003448456526,-0.00696141691878438,-0.00696141691878438,-0.00695967860519886,,,,,,
Brent Burns,COL,D,8470613,0.006257069297134876,0.01098007895052433,0.01098007895052433,0.011209001764655113,35.0,0.0,0.979,-0.979,-0.014,0.0075
Corey Perry,LAK,R,8470621,0.011342656798660755,0.010812205262482166,0.010811496526002884,0.010846015065908432,6.0,0.0,0.49,-0.49,-0.03,0.0035
Alex Ovechkin,WSH,L,8471214,0.028141723945736885,0.034251462668180466,0.03424743935465813,0.034252531826496124,,,,,,
Evgeni Malkin,PIT,C,8471215,0.0031149378046393394,0.008595683611929417,0.008594284765422344,0.008709961548447609,11.0,1.0,1.064,-0.064,-0.061,0.006
Sidney Crosby,PIT,C,8471675,0.015241643413901329,0.018270352855324745,0.018269704654812813,0.018367251381278038,17.0,0.0,0.988,-0.988,-0.057,0.012
Jack Johnson,,D,8471677,-0.003143360372632742,-0.00308463373221457,-0.0030857266392558813,-0.0030826181173324585,,,,,,
Anze Kopitar,LAK,C,8471685,0.012698470614850521,0.009238106198608875,0.009237275458872318,0.009250540286302567,4.0,0.0,0.409,-0.409,-0.008,0.0026
Marc-Edouard Vlasic,,D,8471709,0.0007486073300242424,0.000823217211291194,0.000822139554657042,0.0008240503957495093,,,,,,
Kris Letang,PIT,D,8471724,-0.012835215777158737,-0.01330559328198433,-0.013521256856620312,-0.013303998857736588,15.0,2.0,0.845,1.155,-0.049,-0.0074
Ryan Reaves,SJS,R,8471817,-0.0035919174551963806,-0.004321810323745012,-0.0043219467625021935,-0.004320585168898106,,,,,,
Brad Marchand,FLA,L,8473419,0.022329634055495262,0.03128493204712868,0.031282246112823486,0.03128650039434433,,,,,,
Nick Foligno,CHI,L,8473422,0.0063374582678079605,0.010433095507323742,0.009794702753424644,0.010433713905513287,9.0,2.0,0.691,1.309,-0.008,0.005
Erik Johnson,,D,8473446,-0.0010712769581004977,-0.000999217270873487,-0.001000071526505053,-0.0009981857147067785,,,,,,
Trevor Lewis,,C,8473453,-0.0019450054969638586,-0.0018723836401477456,-0.0018731777090579271,-0.001871250569820404,,,,,,
Milan Lucic,,L,8473473,0.0020627507474273443,0.002504306845366955,0.0025032239500433207,0.0025051508564502,,,,,,
Jeff Petry,FLA,D,8473507,-0.006528127007186413,-0.011043627746403217,-0.011043627746403217,-0.011037042364478111,2.0,0.0,0.042,-0.042,-0.001,-0.0003
Claude Giroux,OTT,R,8473512,-0.0035996530205011368,-0.008970256894826889,-0.008971069008111954,-0.00888104923069477,11.0,0.0,1.206,-1.206,-0.004,-0.0076
Jordan Staal,CAR,C,8473533,0.005437489598989487,0.010643296875059605,0.009050790220499039,0.010643296875059605,39.0,4.0,4.034,-0.034,-0.071,0.0274
Nikolay Kulemin,,L,8473579,-0.0002571044897194952,-0.00018361385446041822,-0.00018452282529324293,-0.00018270904547534883,,,,,,
Jonathan Toews,WPG,C,8473604,-0.006808561738580465,-0.010261890478432178,-0.01026297826319933,-0.010259721428155899,,,,,,
Alex Killorn,ANA,L,8473986,0.007876326330006123,0.010831929743289948,0.010831283405423164,0.010996018536388874,21.0,1.0,1.808,-0.808,0.039,0.0143
Jamie Benn,DAL,L,8473994,0.007255883421748877,0.009495943784713745,0.009495943784713745,0.009589070454239845,11.0,0.0,0.921,-0.921,-0.019,0.0059
Ian Cole,UTA,D,8474013,-0.008575801737606525,-0.008923286572098732,-0.009064042009413242,-0.008921574801206589,11.0,1.0,0.426,0.574,0.007,-0.0028
Patrick Maroon,,L,8474034,-0.009985076263546944,-0.00991852581501007,-0.009919201955199242,-0.009916591458022594,,,,,,
James van Riemsdyk,DET,L,8474037,0.011550094932317734,0.011432861909270287,0.011430752463638783,0.011433507315814495,,,,,,
Sam Gagner,,C,8474040,0.0010301925940439105,0.0011047680163756013,0.0011037070071324706,0.0011055365903303027,,,,,,
Chris Terry,,L,8474052,0.0022952735889703035,0.0026689195074141026,0.0026678266003727913,0.0026697039138525724,,,,,,
Brendan Smith,CBJ,D,8474090,-0.006513652391731739,-0.0070049455389380455,-0.0070049455389380455,-0.007003421895205975,,,,,,
David Perron,OTT,L,8474102,0.008486093953251839,0.01555860135704279,0.015555795282125473,0.015559324063360691,,,,,,
Patrick Kane,DET,R,8474141,-0.0012090414529666305,0.0006751241744495928,0.0006741685210727155,0.0006760270334780216,,,,,,
Robert Bortuzzo,,D,8474145,-0.001159263076260686,-0.0010869374964386225,-0.0010878272587433457,-0.0010859309695661068,,,,,,
Evgenii Dadonov,NJD,L,8474149,-7.346954225795344e-05,-0.0006885164766572416,-0.0006895249825902283,-0.0006876204279251397,,,,,,
Mikael Backlund,CGY,C,8474150,0.0015932261012494564,0.00045070977648720145,0.0004496373876463622,0.0004515260807238519,,,,,,
Ryan McDonagh,TBL,D,8474151,-0.00015893171075731516,0.00045383317046798766,0.00045383317046798766,0.00047224416630342603,5.0,0.0,0.196,-0.196,-0.012,0.0
Max Pacioretty,,L,8474157,0.0025770196225494146,0.0026523710694164038,0.00265140226110816,0.0026531137991696596,,,,,,
Alec Martinez,,D,8474166,0.007876279763877392,0.007959102280437946,0.007955987937748432,0.00795968621969223,,,,,,
Lars Eller,OTT,C,8474189,-0.004259825684130192,-0.009425010532140732,-0.009425319731235504,-0.00936121679842472,7.0,0.0,0.795,-0.795,-0.003,-0.0052
Drew Doughty,LAK,D,8474563,-0.0013719203416258097,-0.003283119760453701,-0.0032836704049259424,-0.0032759890891611576,7.0,0.0,0.285,-0.285,-0.006,-0.0007
Steven Stamkos,NSH,C,8474564,0.01670665666460991,0.028408098965883255,0.028404995799064636,0.028409352526068687,,,,,,
Alex Pietrangelo,VGK,D,8474565,-0.0081170704215765,-0.00804910808801651,-0.008049160242080688,-0.008047699928283691,,,,,,
Zach Bogosian,MIN,D,8474567,0.0012592353159561753,0.0006191042484715581,0.0006191042484715581,0.0006338916718959808,6.0,0.0,0.127,-0.127,-0.001,0.0
Luke Schenn,WPG,D,8474568,-0.010556872934103012,-0.010645215399563313,-0.010645215399563313,-0.010643217712640762,,,,,,
Tyler Myers,DAL,D,8474574,-0.008673889562487602,-0.0173554178327322,-0.0173554178327322,-0.017318664118647575,13.0,0.0,0.567,-0.567,-0.012,-0.0068
Erik Karlsson,PIT,D,8474578,-1.52938773680944e-05,0.0029727513901889324,0.0029727513901889324,0.003052449319511652,23.0,0.0,0.85,-0.85,-0.049,0.0016
Jordan Eberle,SEA,R,8474586,0.002726886887103319,0.006582307163625956,0.006580623798072338,0.006583159323781729,,,,,,
John Carlson,WSH,D,8474590,-0.011767864227294922,-0.015228893607854843,-0.015229504555463791,-0.014984648674726486,26.0,0.0,1.043,-1.043,0.019,-0.0115
Jacob Markstrom,NJD,G,8474593,-0.00024887442123144865,-0.00017545180162414908,-0.00017636132542975247,-0.00017454841872677207,,,,,,
Roman Josi,NSH,D,8474600,-0.002444762270897627,-0.00044604044524021447,-0.0004467444960027933,-0.00044498249189928174,,,,,,
Zac Dalpe,,C,8474610,-0.0007578072254545987,-0.0006849249475635588,-0.000685719889588654,-0.0006839054985903203,,,,,,
Travis Hamonic,DET,D,8474612,-0.008060883730649948,-0.009315378032624722,-0.009316165000200272,-0.00931350514292717,,,,,,
Adam Henrique,EDM,C,8474641,-0.011522162705659866,-0.017680777236819267,-0.01768225058913231,-0.017679806798696518,1.0,0.0,0.011,-0.011,0.0,-0.0001
