player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Jet Greaves,CBJ,G,8482982,1818,112.0,152.18276977539062,40.18,0.72,105.59794616699219,24.834016799926758,0.9384,0.9163
Logan Thompson,WSH,G,8480313,1884,114.0,169.84228515625,55.84,0.34,121.93815612792969,23.07828712463379,0.9395,0.9099
Ilya Sorokin,NYI,G,8478009,1668,101.0,149.9071502685547,48.91,0.49,113.19261932373047,14.949943542480469,0.9394,0.9101
Andrei Vasilevskiy,TBL,G,8476883,1569,99.0,137.63438415527344,38.63,0.34,104.63922119140625,12.977189064025879,0.9369,0.9123
Connor Hellebuyck,WPG,G,8476945,1723,120.0,149.35174560546875,29.35,0.43,115.8951416015625,11.774419784545898,0.9304,0.9133
Akira Schmid,VGK,G,8481033,1296,81.0,102.44356536865234,21.44,0.08,75.64690399169922,11.73965835571289,0.9375,0.921
Igor Shesterkin,NYR,G,8478048,1650,98.0,137.3597412109375,39.36,0.37,106.46308898925781,10.923734664916992,0.9406,0.9168
John Gibson,DET,G,8476434,1681,107.0,140.70431518554688,33.7,0.72,109.6451416015625,10.8450927734375,0.9363,0.9163
Darcy Kuemper,LAK,G,8475311,1464,110.0,128.61715698242188,18.62,1.21,100.48214721679688,10.406394958496094,0.9249,0.9121
Spencer Knight,CHI,G,8481519,1957,126.0,171.48329162597656,45.48,0.48,136.3496856689453,10.336700439453125,0.9356,0.9124
Jake Oettinger,DAL,G,8479979,1595,110.0,139.91452026367188,29.91,0.48,110.83790588378906,8.887243270874023,0.931,0.9123
Casey DeSmith,DAL,G,8479193,994,60.0,85.94672393798828,25.95,0.44,65.18147277832031,8.455631256103516,0.9396,0.9135
Dustin Wolf,CGY,G,8481692,1906,133.0,159.43478393554688,26.43,0.97,128.37405395507812,8.449872970581055,0.9302,0.9164
Lukas Dostal,ANA,G,8480843,1873,131.0,162.56658935546875,31.57,0.35,130.43788146972656,8.368714332580566,0.9301,0.9132
Filip Gustavsson,MIN,G,8479406,1748,106.0,137.45404052734375,31.45,0.71,109.54299926757812,8.301602363586426,0.9394,0.9214
Dan Vladar,PHI,G,8478435,1495,90.0,126.70589447021484,36.71,0.42,100.27650451660156,8.134054183959961,0.9398,0.9152
Karel Vejmelka,UTA,G,8478872,1948,130.0,165.587646484375,35.59,0.13,133.02325439453125,8.050501823425293,0.9333,0.915
Jake Allen,NJD,G,8474596,1302,83.0,113.85752868652344,30.86,0.61,90.2217025756836,7.407635688781738,0.9363,0.9126
Alex Lyon,BUF,G,8479312,1362,78.0,113.30157470703125,35.3,0.05,89.35234069824219,7.209945201873779,0.9427,0.9168
Devin Cooley,CGY,G,8482445,945,59.0,83.19005584716797,24.19,0.54,64.93748474121094,6.497923851013184,0.9376,0.912
Jakub Dobes,MTL,G,8482487,1198,90.0,107.31368255615234,17.31,0.69,85.75312805175781,6.395853042602539,0.9249,0.9104
Joey Daccord,SEA,G,8478916,1713,103.0,137.41400146484375,34.41,0.27,111.27642822265625,6.126626968383789,0.9399,0.9198
Anthony Stolarz,TOR,G,8476932,844,65.0,69.58876037597656,4.59,0.18,53.7196044921875,5.715307235717773,0.923,0.9175
Mackenzie Blackwood,COL,G,8478406,983,54.0,79.12916564941406,25.13,0.02,61.69941329956055,5.712398529052734,0.9451,0.9195
Brandon Bussi,CAR,G,8483548,1027,67.0,94.72077941894531,27.72,0.61,75.74955749511719,5.569276809692383,0.9348,0.9078
Scott Wedgewood,COL,G,8475809,1390,85.0,112.95333862304688,27.95,0.46,91.36346435546875,5.410600662231445,0.9388,0.9187
Anton Forsberg,LAK,G,8476341,1150,71.0,96.40487670898438,25.4,0.3,77.89836883544922,4.562475204467773,0.9383,0.9162
8478470,MTL,G,8478470,1009,85.0,93.78031921386719,8.78,0.54,75.82618713378906,4.543709754943848,0.9158,0.9071
Frederik Andersen,CAR,G,8475883,972,81.0,92.28047180175781,11.28,0.41,74.95674133300781,4.070487976074219,0.9167,0.9051
Nikita Tolopilo,VAN,G,8484268,563,37.0,51.38144302368164,14.38,0.25,40.343116760253906,3.6495449542999268,0.9343,0.9087
Jeremy Swayman,BOS,G,8480280,1889,118.0,165.83680725097656,47.84,0.62,138.60899353027344,3.304354190826416,0.9375,0.9122
Sergei Bobrovsky,FLA,G,8475683,1646,132.0,137.12147521972656,5.12,0.77,114.479736328125,3.088413953781128,0.9198,0.9167
Eric Comrie,WPG,G,8477480,885,62.0,71.62168884277344,9.62,0.15,58.18196105957031,2.9992403984069824,0.9299,0.9191
Stuart Skinner,PIT,G,8479973,1600,112.0,136.18362426757812,24.18,0.28,113.77897644042969,2.518296718597412,0.93,0.9149
Jacob Fowler,MTL,G,8484170,436,31.0,43.465309143066406,12.47,0.31,34.993072509765625,2.38151216506958,0.9289,0.9003
8481551,BUF,G,8481551,568,41.0,49.39833068847656,8.4,0.12,40.171058654785156,2.031020164489746,0.9278,0.913
Cam Talbot,DET,G,8475660,1123,80.0,94.50936126708984,14.51,0.45,78.96321105957031,1.998338222503662,0.9288,0.9158
Joseph Woll,TOR,G,8479361,1223,77.0,93.77560424804688,16.78,0.22,78.56904602050781,1.566425085067749,0.937,0.9233
Thatcher Demko,VAN,G,8477967,884,61.0,74.83438873291016,13.83,0.03,62.33894729614258,1.4158451557159424,0.931,0.9153
Jesper Wallstedt,MIN,G,8482661,1256,78.0,104.26941680908203,26.27,0.17,87.84476470947266,1.2140588760375977,0.9379,0.917
Kevin Lankinen,VAN,G,8480947,1425,114.0,129.00048828125,15.0,0.69,109.57002258300781,1.02297043800354,0.92,0.9095
Dennis Hildeby,TOR,G,8483710,878,52.0,73.27516174316406,21.28,0.26,61.84547424316406,0.842481255531311,0.9408,0.9165
Nico Daws,NJD,G,8482076,69,5.0,6.608617782592773,1.61,0.01,4.890185356140137,0.7362105846405029,0.9275,0.9042
Jacob Markstrom,NJD,G,8474593,1347,103.0,112.96585845947266,9.97,0.12,95.65101623535156,0.7260566353797913,0.9235,0.9161
Sergei Murashov,PIT,G,8483703,266,17.0,22.224706649780273,5.22,0.08,18.4384765625,0.6135601997375488,0.9361,0.9164
8481529,COL,G,8481529,261,13.0,21.005592346191406,8.01,0.04,17.390357971191406,0.5523442029953003,0.9502,0.9195
8476914,BOS,G,8476914,1023,72.0,89.62855529785156,17.63,0.45,76.23751831054688,0.5290181636810303,0.9296,0.9124
Pyotr Kochetkov,CAR,G,8481611,324,22.0,29.13744354248047,7.14,0.11,24.450687408447266,0.4883075952529907,0.9321,0.9101
James Reimer,OTT,G,8473503,310,24.0,24.917522430419922,0.92,-0.08,20.659744262695312,0.4828205108642578,0.9226,0.9196
Charlie Lindgren,WSH,G,8479292,914,73.0,83.95654296875,10.96,0.34,71.52782440185547,0.3995932936668396,0.9201,0.9081
Carson Bjarnason,PHI,G,8484147,31,3.0,6.291929244995117,3.29,-0.04,5.0006537437438965,0.3934282660484314,0.9032,0.797
Arvid Soderblom,CHI,G,8482821,907,75.0,83.12591552734375,8.13,0.36,71.00364685058594,0.18153782188892365,0.9173,0.9084
