player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Logan Thompson,WSH,G,8480313,253,15.0,25.738359451293945,10.74,-0.01,23.12529182434082,0.8011130094528198,0.9407,0.8983
Dustin Wolf,CGY,G,8481692,227,12.0,20.986434936523438,8.99,-0.01,19.57774543762207,0.5042216181755066,0.9471,0.9075
Linus Ullmark,OTT,G,8476999,162,12.0,16.362167358398438,4.36,-0.0,14.779947280883789,0.43284109234809875,0.9259,0.899
Carter Hart,VGK,G,8479394,142,6.0,14.522445678710938,8.52,-0.01,12.966793060302734,0.4074116349220276,0.9577,0.8977
Jakub Dobes,MTL,G,8482487,247,21.0,27.202472686767578,6.2,0.01,24.18757438659668,0.39596885442733765,0.915,0.8899
Juuse Saros,NSH,G,8477424,205,15.0,22.734375,7.73,0.02,20.21469497680664,0.3648926913738251,0.9268,0.8891
Andrei Vasilevskiy,TBL,G,8476883,255,18.0,24.481586456298828,6.48,0.04,22.740028381347656,0.35787737369537354,0.9294,0.904
Jake Oettinger,DAL,G,8479979,261,28.0,26.960693359375,-1.04,0.02,24.72175407409668,0.29492077231407166,0.8927,0.8967
Ilya Sorokin,NYI,G,8478009,201,14.0,22.317960739135742,8.32,0.01,19.812152862548828,0.26451700925827026,0.9303,0.889
Joel Hofer,STL,G,8480981,204,12.0,20.001956939697266,8.0,-0.0,18.367244720458984,0.24143823981285095,0.9412,0.902
Arturs Silovs,PIT,G,8481668,188,13.0,17.26218605041504,4.26,-0.0,16.295888900756836,0.2244560867547989,0.9309,0.9082
Spencer Knight,CHI,G,8481519,218,18.0,23.18918800354004,5.19,0.03,21.041847229003906,0.20241476595401764,0.9174,0.8936
Alex Lyon,BUF,G,8479312,191,13.0,17.058425903320312,4.06,0.02,16.328866958618164,0.18708017468452454,0.9319,0.9107
Igor Shesterkin,NYR,G,8478048,200,17.0,20.174020767211914,3.17,-0.02,18.5103759765625,0.1720101684331894,0.915,0.8991
Samuel Montembeault,MTL,G,8478470,122,14.0,12.752073287963867,-1.25,-0.01,11.584659576416016,0.17057859897613525,0.8852,0.8955
Jacob Markstrom,NJD,G,8474593,112,12.0,11.671984672546387,-0.33,-0.01,10.577317237854004,0.1695893406867981,0.8929,0.8958
Mackenzie Blackwood,COL,G,8478406,162,15.0,15.677386283874512,0.68,0.01,14.586555480957031,0.15214017033576965,0.9074,0.9032
Daniil Tarasov,FLA,G,8480193,115,7.0,11.444513320922852,4.44,-0.01,10.507805824279785,0.1367190182209015,0.9391,0.9005
Adin Hill,VGK,G,8478499,80,7.0,6.9882073402404785,-0.01,0.0,6.678741931915283,0.10831046104431152,0.9125,0.9126
Jonathan Quick,NYR,G,8471734,112,7.0,11.661870956420898,4.66,0.01,10.63969612121582,0.10065816342830658,0.9375,0.8959
Samuel Ersson,PHI,G,8481035,111,9.0,11.23993968963623,2.24,0.01,10.379772186279297,0.07856473326683044,0.9189,0.8987
Scott Wedgewood,COL,G,8475809,177,12.0,15.90562629699707,3.91,-0.01,15.182535171508789,0.07056083530187607,0.9322,0.9101
Jesper Wallstedt,MIN,G,8482661,239,22.0,26.1077880859375,4.11,-0.01,23.742042541503906,0.06440526992082596,0.9079,0.8908
Dennis Hildeby,TOR,G,8483710,81,4.0,8.512495994567871,4.51,0.01,7.774541854858398,0.05918237194418907,0.9506,0.8949
Charlie Lindgren,WSH,G,8479292,67,8.0,7.205657482147217,-0.79,-0.01,6.5064263343811035,0.056782856583595276,0.8806,0.8925
Yaroslav Askarov,SJS,G,8482137,185,15.0,18.049942016601562,3.05,0.0,16.85089683532715,0.04740682244300842,0.9189,0.9024
Nikita Tolopilo,VAN,G,8484268,77,6.0,8.39054012298584,2.39,0.0,7.591494560241699,0.04178817570209503,0.9221,0.891
Connor Ingram,EDM,G,8478971,157,14.0,17.041912078857422,3.04,-0.03,15.421184539794922,0.03969253972172737,0.9108,0.8915
Connor Hellebuyck,WPG,G,8476945,189,19.0,20.358478546142578,1.36,0.01,18.570293426513672,0.028222855180501938,0.8995,0.8923
Devin Cooley,CGY,G,8482445,94,8.0,9.687948226928711,1.69,0.03,8.863245010375977,0.02799871750175953,0.9149,0.8969
Trent Miner,COL,G,8481529,37,1.0,3.241909980773926,2.24,-0.0,3.1432077884674072,0.026281755417585373,0.973,0.9124
Sergei Murashov,PIT,G,8483703,51,2.0,3.9393606185913086,1.94,-0.0,3.989457845687866,0.024861052632331848,0.9608,0.9228
Jake Allen,NJD,G,8474596,134,11.0,14.281293869018555,3.28,0.01,13.041780471801758,0.023020455613732338,0.9179,0.8934
Anthony Stolarz,TOR,G,8476932,108,8.0,10.866531372070312,2.87,0.01,10.147871017456055,0.01980084367096424,0.9259,0.8994
Darcy Kuemper,LAK,G,8475311,182,20.0,17.97484588623047,-2.03,-0.01,16.674476623535156,0.01926441304385662,0.8901,0.9012
Petr Mrazek,ANA,G,8475852,42,3.0,4.151092052459717,1.15,0.0,3.870262622833252,0.011844970285892487,0.9286,0.9012
Nico Daws,NJD,G,8482076,23,1.0,2.316049575805664,1.32,0.0,2.161881446838379,0.010215740650892258,0.9565,0.8993
Nikke Kokko,SEA,G,8483668,15,0.0,1.7921721935272217,1.79,-0.0,1.5884637832641602,0.007614869624376297,1.0,0.8805
Spencer Martin,NYR,G,8477484,11,1.0,1.2267835140228271,0.23,-0.0,1.0951786041259766,0.004989936947822571,0.9091,0.8885
Casey DeSmith,DAL,G,8479193,89,6.0,9.15898609161377,3.16,0.0,8.460118293762207,0.0047420933842659,0.9326,0.8971
Frederik Andersen,CAR,G,8475883,172,16.0,19.887928009033203,3.89,-0.0,17.618309020996094,0.0029965080320835114,0.907,0.8844
Ryan Fanti,TBL,G,8483534,9,0.0,1.17983877658844,1.18,-0.0,0.9964197874069214,0.0024290382862091064,1.0,0.8689
Drew Commesso,CHI,G,8482123,5,0.0,0.6311948299407959,0.63,0.0,0.5582148432731628,0.0011897012591362,1.0,0.8738
Clay Stevenson,WSH,G,8483532,14,0.0,0.8781376481056213,0.88,0.0,0.9617297649383545,0.0011620745062828064,1.0,0.9373
Devon Levi,BUF,G,8482221,4,0.0,0.4459017515182495,0.45,-0.0,0.4095726013183594,0.0009324923157691956,1.0,0.8885
Matt Murray,NSH,G,8483575,5,0.0,0.6173393726348877,0.62,-0.0,0.5341482758522034,0.0008245222270488739,1.0,0.8765
Michal Postava,DET,G,8485545,5,0.0,0.4752887189388275,0.48,0.0,0.4514220654964447,0.000516112893819809,1.0,0.9049
Marcus Hogberg,NYI,G,8477405,3,0.0,0.3590858578681946,0.36,0.0,0.3215223252773285,0.00035813450813293457,1.0,0.8803
Arsenii Sergeev,CGY,G,8482949,3,0.0,0.25743189454078674,0.26,-0.0,0.2592485547065735,0.0003328174352645874,1.0,0.9142
Georgi Romanov,STL,G,8484312,5,1.0,0.38774049282073975,-0.61,0.0,0.40256381034851074,0.0003045611083507538,0.8,0.9225
Amir Miftakhov,CAR,G,8482501,4,0.0,0.33113518357276917,0.33,-0.0,0.3347473740577698,0.00028868764638900757,1.0,0.9172
Thomas Milic,WPG,G,8483114,3,0.0,0.18015307188034058,0.18,-0.0,0.19541412591934204,0.00019382312893867493,1.0,0.9399
Laurent Brossoit,SJS,G,8476316,1,0.0,0.2321786731481552,0.23,-0.0,0.17140693962574005,0.00012001395225524902,1.0,0.7678
Michael DiPietro,BOS,G,8480022,2,0.0,0.06681783497333527,0.07,-0.0,0.09208982437849045,0.0001101568341255188,1.0,0.9666
Hunter Shepard,OTT,G,8482411,5,0.0,0.39211103320121765,0.39,-0.0,0.3926696181297302,7.468461990356445e-05,1.0,0.9216
Calle Clang,ANA,G,8482477,8,0.0,0.6407894492149353,0.64,-0.0,0.6446150541305542,6.00665807723999e-05,1.0,0.9199
Jaxson Stauber,UTA,G,8483530,1,0.0,0.15377897024154663,0.15,-0.0,0.12900714576244354,5.964934825897217e-05,1.0,0.8462
Antoine Bibeau,,G,8477312,2,0.0,0.122795969247818,0.12,-0.0,0.12807047367095947,4.088692367076874e-05,1.0,0.9386
Filip Larsson,,G,8479548,3,0.0,0.08112122118473053,0.08,0.0,0.12173347175121307,4.01325523853302e-05,1.0,0.973
Owen Say,CGY,G,8485465,2,0.0,0.09457755833864212,0.09,-0.0,0.11584749817848206,3.5587698221206665e-05,1.0,0.9527
Talyn Boyko,NYR,G,8482869,10,1.0,1.171694040298462,0.17,-0.0,1.0125459432601929,3.104284405708313e-05,0.9,0.8828
Domenic DiVincentiis,WPG,G,8483711,1,0.0,0.11879926174879074,0.12,-0.0,0.10828202217817307,2.9556453227996826e-05,1.0,0.8812
Caleb Heil,TBL,G,8485657,1,0.0,0.04338882118463516,0.04,-0.0,0.05565372854471207,8.25151801109314e-06,1.0,0.9566
Joel Blomqvist,PIT,G,8482446,1,0.0,0.019641561433672905,0.02,-0.0,0.03324497118592262,-7.358193397521973e-05,1.0,0.9804
Nathaniel Day,EDM,G,8484455,1,0.0,0.07915163785219193,0.08,-0.0,0.08292867243289948,-0.00015111267566680908,1.0,0.9208
Kyle Keyser,,G,8480356,1,1.0,0.059259820729494095,-0.94,0.0,0.06869429349899292,-0.00016240030527114868,0.0,0.9407
Rémi Poirier,DAL,G,8482465,1,1.0,0.12280397862195969,-0.88,0.0,0.11126378923654556,-0.0001884251832962036,0.0,0.8772
Ivan Fedotov,CBJ,G,8478905,2,0.0,0.1279911994934082,0.13,0.0,0.14393961429595947,-0.0002043396234512329,1.0,0.936
Sebastian Cossa,DET,G,8482657,3,1.0,0.13278955221176147,-0.87,-0.0,0.16103526949882507,-0.0002240389585494995,0.6667,0.9557
Harrison Meneghin,TBL,G,8484636,8,1.0,1.0107498168945312,0.01,-0.0,0.8824646472930908,-0.0002571716904640198,0.875,0.8737
Jakub Skarek,SJS,G,8480819,3,0.0,0.23317669332027435,0.23,0.0,0.22323688864707947,-0.0003707651048898697,1.0,0.9223
Brandon Halverson,TBL,G,8477990,18,2.0,1.8463748693466187,-0.15,-0.0,1.698302149772644,-0.0003733411431312561,0.8889,0.8974
Ivan Prosvetov,CGY,G,8481031,2,1.0,0.16974973678588867,-0.83,-0.0,0.16918566823005676,-0.00037397444248199463,0.5,0.9151
Gabriel Carriere,SJS,G,8484887,1,0.0,0.13329552114009857,0.13,-0.0,0.11752893775701523,-0.00040647387504577637,1.0,0.8667
Isaac Poulter,WPG,G,8483659,3,1.0,0.19866877794265747,-0.8,0.0,0.2157018482685089,-0.0004074983298778534,0.6667,0.9338
Vyacheslav Buteyets,ANA,G,8483746,1,1.0,0.18518850207328796,-0.81,-0.0,0.14711283147335052,-0.0004094541072845459,0.0,0.8148
Samuel Hlavaj,MIN,G,8482085,2,1.0,0.23907536268234253,-0.76,-0.0,0.213654026389122,-0.00041931867599487305,0.5,0.8805
Dylan Garand,NYR,G,8482193,19,1.0,1.6273696422576904,0.63,-0.0,1.5613749027252197,-0.00044928863644599915,0.9474,0.9143
Mads Sogaard,OTT,G,8481544,12,1.0,1.2060049772262573,0.21,-0.0,1.1325455904006958,-0.0005668848752975464,0.9167,0.8995
Pheonix Copley,LAK,G,8477831,7,1.0,0.6647276878356934,-0.34,-0.0,0.6335235238075256,-0.0005982369184494019,0.8571,0.905
Matt Tomkins,EDM,G,8477035,6,1.0,0.5101318955421448,-0.49,-0.0,0.49221158027648926,-0.0006121564656496048,0.8333,0.915
Parker Gahagen,,G,8480481,7,1.0,0.49528753757476807,-0.5,0.0,0.52439945936203,-0.0006227046251296997,0.8571,0.9292
Artur Akhtyamov,TOR,G,8482515,16,2.0,2.0012197494506836,0.0,0.01,1.766737937927246,-0.0009988509118556976,0.875,0.8749
Pyotr Kochetkov,CAR,G,8481611,19,2.0,1.8714945316314697,-0.13,-0.0,1.7404614686965942,-0.0011653974652290344,0.8947,0.9015
Kaapo Kahkonen,MTL,G,8478039,6,1.0,0.6562789678573608,-0.34,-0.0,0.6125959157943726,-0.0013038069009780884,0.8333,0.8906
James Reimer,OTT,G,8473503,23,3.0,2.701117992401123,-0.3,0.0,2.416337013244629,-0.002133030444383621,0.8696,0.8826
Jacob Fowler,MTL,G,8484170,55,5.0,5.297429084777832,0.3,0.01,5.032240867614746,-0.002162706106901169,0.9091,0.9037
Matt Murray,SEA,G,8476899,21,2.0,1.9744126796722412,-0.03,-0.01,1.8564043045043945,-0.005816858261823654,0.9048,0.906
Colten Ellis,BUF,G,8481551,55,5.0,5.103226184844971,0.1,-0.01,4.858051300048828,-0.007199259474873543,0.9091,0.9072
Calvin Pickard,EDM,G,8475717,60,5.0,6.619387149810791,1.62,0.01,5.9518280029296875,-0.007953450083732605,0.9167,0.8897
Carl Lindbom,VGK,G,8482761,32,4.0,3.5299336910247803,-0.47,-0.0,3.1697187423706055,-0.008025135844945908,0.875,0.8897
Aleksei Kolosov,PHI,G,8482783,11,0.0,1.2057175636291504,1.21,-0.0,1.1085364818572998,-0.009491398930549622,1.0,0.8904
Justus Annunen,NSH,G,8481020,110,8.0,12.698272705078125,4.7,0.03,11.329833030700684,-0.009576944634318352,0.9273,0.8846
Cayden Primeau,CAR,G,8480051,30,2.0,3.0868725776672363,1.09,-0.01,2.8239192962646484,-0.010445978492498398,0.9333,0.8971
Philipp Grubauer,SEA,G,8475831,101,9.0,9.07162094116211,0.07,-0.0,8.798134803771973,-0.011735627427697182,0.9109,0.9102
David Rittich,NYI,G,8479496,114,8.0,11.841167449951172,3.84,0.01,10.940434455871582,-0.016642022877931595,0.9298,0.8961
Sergei Bobrovsky,FLA,G,8475683,189,17.0,18.844806671142578,1.84,0.0,17.548450469970703,-0.026654228568077087,0.9101,0.9003
Ville Husso,ANA,G,8478024,67,6.0,5.982276439666748,-0.02,-0.01,5.730166435241699,-0.027998128905892372,0.9104,0.9107
Alexandar Georgiev,,G,8480382,11,3.0,1.337660789489746,-1.66,-0.0,1.1884244680404663,-0.03150492161512375,0.7273,0.8784
Jeremy Swayman,BOS,G,8480280,298,26.0,29.36403465270996,3.36,0.01,27.49482536315918,-0.03687191754579544,0.9128,0.9015
Arvid Soderblom,CHI,G,8482821,61,8.0,5.978307723999023,-2.02,-0.01,5.596115589141846,-0.03876928985118866,0.8689,0.902
Leevi Meriläinen,OTT,G,8482447,84,10.0,8.161596298217773,-1.84,0.03,7.696506500244141,-0.03970794379711151,0.881,0.9028
Vitek Vanecek,UTA,G,8477970,67,5.0,6.6194987297058105,1.62,-0.01,6.225866794586182,-0.044084224849939346,0.9254,0.9012
Joseph Woll,TOR,G,8479361,174,14.0,17.565921783447266,3.57,0.01,16.31434440612793,-0.0459471121430397,0.9195,0.899
Jonas Johansson,TBL,G,8477992,82,8.0,7.384881496429443,-0.62,0.01,7.197997093200684,-0.047944456338882446,0.9024,0.9099
Thatcher Demko,VAN,G,8477967,54,8.0,5.917447090148926,-2.08,-0.01,5.45024299621582,-0.06388586759567261,0.8519,0.8904
Kevin Lankinen,VAN,G,8480947,125,18.0,13.9462251663208,-4.05,0.01,12.59644889831543,-0.06450323760509491,0.856,0.8884
Filip Gustavsson,MIN,G,8479406,191,18.0,17.679508209228516,-0.32,0.02,16.97054100036621,-0.06756886839866638,0.9058,0.9074
Joonas Korpisalo,BOS,G,8476914,103,11.0,11.512310981750488,0.51,0.02,10.424333572387695,-0.06883541494607925,0.8932,0.8882
Anton Forsberg,LAK,G,8476341,109,12.0,11.626303672790527,-0.37,-0.01,10.611310958862305,-0.07036207616329193,0.8899,0.8933
Karel Vejmelka,UTA,G,8478872,309,27.0,31.777301788330078,4.78,-0.0,29.43536949157715,-0.07409261912107468,0.9126,0.8972
Jet Greaves,CBJ,G,8482982,234,26.0,26.617332458496094,0.62,0.01,23.801895141601562,-0.07580479979515076,0.8889,0.8863
Akira Schmid,VGK,G,8481033,93,13.0,9.3674898147583,-3.63,-0.01,8.746454238891602,-0.09928403794765472,0.8602,0.8993
Jordan Binnington,STL,G,8476412,134,13.0,12.562971115112305,-0.44,0.01,12.015426635742188,-0.117540642619133,0.903,0.9062
Elvis Merzlikins,CBJ,G,8478007,69,8.0,6.961740016937256,-1.04,-0.01,6.4604811668396,-0.11805550754070282,0.8841,0.8991
Eric Comrie,WPG,G,8477480,95,13.0,9.952513694763184,-3.05,0.02,9.270054817199707,-0.12346982210874557,0.8632,0.8952
Brandon Bussi,CAR,G,8483548,130,15.0,13.20315933227539,-1.8,-0.0,12.361969947814941,-0.14742296934127808,0.8846,0.8984
Tristan Jarry,EDM,G,8477465,106,13.0,9.917226791381836,-3.08,0.0,9.58769416809082,-0.1558007001876831,0.8774,0.9064
Cam Talbot,DET,G,8475660,78,9.0,6.709959983825684,-2.29,-0.0,6.750410079956055,-0.16871502995491028,0.8846,0.914
Ukko-Pekka Luukkonen,BUF,G,8480045,175,16.0,18.82793426513672,2.83,0.02,17.27693748474121,-0.18698488175868988,0.9086,0.8924
Joey Daccord,SEA,G,8478916,196,23.0,19.668212890625,-3.33,0.0,18.519851684570312,-0.24042338132858276,0.8827,0.8997
Stuart Skinner,PIT,G,8479973,176,23.0,18.093265533447266,-4.91,0.01,16.97958755493164,-0.24205440282821655,0.8693,0.8972
Alex Nedeljkovic,SJS,G,8477968,157,19.0,16.338533401489258,-2.66,0.01,15.181071281433105,-0.2450120896100998,0.879,0.8959
Dan Vladar,PHI,G,8478435,202,22.0,19.965286254882812,-2.03,0.02,19.081768035888672,-0.32376331090927124,0.8911,0.9012
Lukas Dostal,ANA,G,8480843,243,31.0,26.04072380065918,-4.96,0.04,24.125537872314453,-0.36409851908683777,0.8724,0.8928
John Gibson,DET,G,8476434,207,25.0,20.03720474243164,-4.96,0.01,19.402986526489258,-0.499721884727478,0.8792,0.9032
