hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,goal_rate,xg_rate
0,-2,0.0,-51.96,1,0,0.011058651,0.0,0.0111
0,-1,0.0,-25.98,8,1,0.7067878790000001,0.125,0.0883
0,0,0.0,0.0,8,0,1.0847409049999999,0.0,0.1356
0,1,0.0,25.98,4,0,0.710877801,0.0,0.1777
1,-2,22.5,-38.97,19,0,1.312063456,0.0,0.0691
1,-1,22.5,-12.99,140,2,8.079694225,0.0143,0.0577
1,0,22.5,12.99,64,2,2.672886201,0.0312,0.0418
1,1,22.5,38.97,21,0,2.471557206,0.0,0.1177
2,-3,45.0,-51.96,9,0,0.264769158,0.0,0.0294
2,-2,45.0,-25.98,275,11,16.734292581,0.04,0.0609
2,-1,45.0,0.0,548,30,38.659352706,0.0547,0.0705
2,0,45.0,25.98,275,6,12.338277595,0.0218,0.0449
2,1,45.0,51.96,8,0,0.393778092,0.0,0.0492
3,-3,67.5,-38.97,126,6,7.543700659,0.0476,0.0599
3,-2,67.5,-12.99,1009,111,117.502160157,0.11,0.1165
3,-1,67.5,12.99,726,73,79.7815862802,0.1006,0.1099
3,0,67.5,38.97,204,7,11.330276085,0.0343,0.0555
4,-3,90.0,-25.98,83,3,5.284482653,0.0361,0.0637
4,-2,90.0,0.0,1192,163,170.448372671,0.1367,0.143
4,-1,90.0,25.98,188,15,18.205943887,0.0798,0.0968
4,0,90.0,51.96,2,0,0.040130554,0.0,0.0201
