shooter_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8470613,Brent Burns,COL,1,-1,22.5,-12.99,1,0,0.03191229,0.04469502620361997,-0.0447,-0.0447
8470613,Brent Burns,COL,2,0,45.0,25.98,1,0,0.03754851,0.0498908483300644,-0.0499,-0.0499
8470621,Corey Perry,LAK,2,-3,45.0,-51.96,1,0,0.018002871,0.03146322998083133,-0.0315,-0.0315
8470621,Corey Perry,LAK,4,-2,90.0,0.0,6,2,0.82349008,0.7126857528917889,1.2873,0.2146
8471214,Alex Ovechkin,WSH,1,0,22.5,12.99,1,0,0.041368738,0.05463935545830531,-0.0546,-0.0546
8471214,Alex Ovechkin,WSH,2,-2,45.0,-25.98,1,0,0.10606431,0.1007550446575249,-0.1008,-0.1008
8471214,Alex Ovechkin,WSH,2,-1,45.0,0.0,2,0,0.152310436,0.16399271503993157,-0.164,-0.082
8471214,Alex Ovechkin,WSH,2,0,45.0,25.98,11,0,0.50078807,0.6291560863009475,-0.6292,-0.0572
8471214,Alex Ovechkin,WSH,3,-2,67.5,-12.99,1,0,0.21873592,0.16631105808011867,-0.1663,-0.1663
8471214,Alex Ovechkin,WSH,3,-1,67.5,12.99,5,0,0.435058622,0.43493079785725197,-0.4349,-0.087
8471214,Alex Ovechkin,WSH,3,0,67.5,38.97,5,1,0.33324613000000003,0.37030716363671234,0.6297,0.1259
8471214,Alex Ovechkin,WSH,4,-2,90.0,0.0,2,0,0.31562391,0.2654379003684094,-0.2654,-0.1327
8471214,Alex Ovechkin,WSH,4,-1,90.0,25.98,1,1,0.16842397,0.13901707992755769,0.861,0.861
8471215,Evgeni Malkin,PIT,1,-1,22.5,-12.99,1,0,0.046643045,0.05938724103140987,-0.0594,-0.0594
8471215,Evgeni Malkin,PIT,2,-2,45.0,-25.98,2,0,0.109773545,0.12948204147318454,-0.1295,-0.0648
8471215,Evgeni Malkin,PIT,2,0,45.0,25.98,1,0,0.030479873,0.04428168390976272,-0.0443,-0.0443
8471215,Evgeni Malkin,PIT,3,-2,67.5,-12.99,3,0,0.321463,0.3033902125673406,-0.3034,-0.1011
8471215,Evgeni Malkin,PIT,3,-1,67.5,12.99,1,1,0.06536478,0.0734173499890822,0.9266,0.9266
8471675,Sidney Crosby,PIT,2,-2,45.0,-25.98,1,0,0.060812756,0.06914229152144429,-0.0691,-0.0691
8471675,Sidney Crosby,PIT,2,-1,45.0,0.0,1,0,0.050071068,0.06148805647496265,-0.0615,-0.0615
8471675,Sidney Crosby,PIT,3,-3,67.5,-38.97,1,0,0.077757485,0.08027402720425886,-0.0803,-0.0803
8471675,Sidney Crosby,PIT,3,-2,67.5,-12.99,1,0,0.18272315,0.14503776367227564,-0.145,-0.145
8471675,Sidney Crosby,PIT,3,-1,67.5,12.99,3,1,0.426467263,0.3496018487589063,0.6504,0.2168
8471675,Sidney Crosby,PIT,4,-2,90.0,0.0,3,1,0.271339327,0.2652555117292443,0.7347,0.2449
8471685,Anze Kopitar,LAK,1,-2,22.5,-38.97,1,0,0.023338865,0.03728454092451207,-0.0373,-0.0373
8471685,Anze Kopitar,LAK,3,-2,67.5,-12.99,3,1,0.5052542,0.41182137513241507,0.5882,0.1961
8471685,Anze Kopitar,LAK,3,-1,67.5,12.99,1,0,0.13126297,0.11587072399213433,-0.1159,-0.1159
8471685,Anze Kopitar,LAK,4,-2,90.0,0.0,4,1,0.52003915,0.4565354100913735,0.5435,0.1359
8471685,Anze Kopitar,LAK,4,-1,90.0,25.98,1,1,0.024819167,0.03871759938790528,0.9613,0.9613
8471724,Kris Letang,PIT,1,0,22.5,12.99,1,0,0.041596007,0.054475102382192574,-0.0545,-0.0545
8471724,Kris Letang,PIT,1,1,22.5,38.97,1,0,0.010020045,0.02133431094432139,-0.0213,-0.0213
8471724,Kris Letang,PIT,3,-2,67.5,-12.99,1,0,0.082661904,0.0854884100734715,-0.0855,-0.0855
