player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Carter Hart,VGK,G,8479394,103,4.0,10.96994686126709,6.97,-0.01,9.581511497497559,0.3338682949542999,0.9612,0.8935
Jakub Dobes,MTL,G,8482487,88,8.0,9.121850967407227,1.12,0.01,8.235132217407227,0.14458540081977844,0.9091,0.8963
Linus Ullmark,OTT,G,8476999,19,1.0,1.852892279624939,0.85,0.0,1.6840171813964844,0.053881943225860596,0.9474,0.9025
Andrei Vasilevskiy,TBL,G,8476883,28,4.0,2.8307881355285645,-1.17,0.03,2.6001856327056885,0.04086977615952492,0.8571,0.8989
Alex Lyon,BUF,G,8479312,41,4.0,3.900243043899536,-0.1,0.02,3.646153450012207,0.03612387925386429,0.9024,0.9049
Jake Oettinger,DAL,G,8479979,33,3.0,3.240859270095825,0.24,0.01,3.0232584476470947,0.03362639248371124,0.9091,0.9018
Scott Wedgewood,COL,G,8475809,49,3.0,4.63320779800415,1.63,-0.01,4.3400187492370605,0.02689332887530327,0.9388,0.9054
Jesper Wallstedt,MIN,G,8482661,57,8.0,6.873108386993408,-1.13,0.01,6.089389324188232,0.018702063709497452,0.8596,0.8794
Arturs Silovs,PIT,G,8481668,12,0.0,1.3136953115463257,1.31,-0.01,1.143736720085144,0.01754942536354065,1.0,0.8905
Frederik Andersen,CAR,G,8475883,42,2.0,5.551786422729492,3.55,-0.0,4.704248428344727,0.010906768962740898,0.9524,0.8678
Mackenzie Blackwood,COL,G,8478406,7,0.0,0.6657111644744873,0.67,0.0,0.6169023513793945,0.006452504545450211,1.0,0.9049
Connor Ingram,EDM,G,8478971,20,4.0,2.3515048027038574,-1.65,-0.0,2.042485475540161,0.005735339596867561,0.8,0.8824
Jeremy Swayman,BOS,G,8480280,31,0.0,2.3617990016937256,2.36,0.0,2.4099373817443848,0.0025899074971675873,1.0,0.9238
Jacob Fowler,MTL,G,8484170,1,1.0,0.08756071329116821,-0.91,0.0,0.08897583931684494,-0.0001813247799873352,0.0,0.9124
Filip Gustavsson,MIN,G,8479406,1,0.0,0.05785774067044258,0.06,-0.0,0.06692357361316681,-0.00021466612815856934,1.0,0.9421
Tristan Jarry,EDM,G,8477465,1,0.0,0.021322090178728104,0.02,-0.0,0.03554050624370575,-0.0007368773221969604,1.0,0.9787
Joonas Korpisalo,BOS,G,8476914,3,0.0,0.16279426217079163,0.16,-0.0,0.18432024121284485,-0.001347459852695465,1.0,0.9457
Ville Husso,ANA,G,8478024,4,0.0,0.47340092062950134,0.47,-0.0,0.42443978786468506,-0.0021645277738571167,1.0,0.8816
Anton Forsberg,LAK,G,8476341,8,1.0,0.6445756554603577,-0.36,-0.0,0.6596719026565552,-0.00471201166510582,0.875,0.9194
Karel Vejmelka,UTA,G,8478872,29,2.0,3.1284942626953125,1.13,-0.0,2.8191323280334473,-0.010377742350101471,0.931,0.8921
Brandon Bussi,CAR,G,8483548,11,1.0,1.1713148355484009,0.17,0.0,1.1023796796798706,-0.013269379734992981,0.9091,0.8935
Stuart Skinner,PIT,G,8479973,14,0.0,1.2952748537063599,1.3,-0.01,1.1844050884246826,-0.019589243456721306,1.0,0.9075
Ukko-Pekka Luukkonen,BUF,G,8480045,20,4.0,1.817112922668457,-2.18,0.0,1.740382194519043,-0.02235531061887741,0.8,0.9091
Lukas Dostal,ANA,G,8480843,32,7.0,3.546239137649536,-3.45,0.03,3.272676944732666,-0.06814698874950409,0.7812,0.8892
Dan Vladar,PHI,G,8478435,57,5.0,5.499017238616943,0.5,0.0,5.3107829093933105,-0.09631787240505219,0.9123,0.9035
