goalie_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8475809,Scott Wedgewood,COL,1,-1,22.5,-12.99,1,0,0.024720466,0.03852871543195727,0.0385,0.0385
8475809,Scott Wedgewood,COL,2,-2,45.0,-25.98,1,0,0.034440387,0.04784264813166532,0.0478,0.0478
8475809,Scott Wedgewood,COL,2,-1,45.0,0.0,1,0,0.057282258,0.06679828657936893,0.0668,0.0668
8475809,Scott Wedgewood,COL,2,0,45.0,25.98,1,0,0.04270147,0.05420162841402987,0.0542,0.0542
8475809,Scott Wedgewood,COL,3,-2,67.5,-12.99,3,1,0.5492447899999999,0.4365467525478265,-0.5635,-0.1878
8475809,Scott Wedgewood,COL,4,-2,90.0,0.0,1,0,0.14003363,0.12019374700150573,0.1202,0.1202
8475883,Frederik Andersen,CAR,1,-1,22.5,-12.99,1,0,0.0516828,0.06273401234791477,0.0627,0.0627
8475883,Frederik Andersen,CAR,2,0,45.0,25.98,1,0,0.0337987,0.04750130844193141,0.0475,0.0475
8475883,Frederik Andersen,CAR,3,-3,67.5,-38.97,2,0,0.151608337,0.15091810867870964,0.1509,0.0754
8475883,Frederik Andersen,CAR,3,-2,67.5,-12.99,3,0,0.49500897,0.4035560708286406,0.4036,0.1345
8475883,Frederik Andersen,CAR,3,-1,67.5,12.99,2,0,0.36688468,0.29056309077870013,0.2906,0.1453
8475883,Frederik Andersen,CAR,4,-2,90.0,0.0,4,0,0.737534526,0.578058277882421,0.5781,0.1445
8476883,Andrei Vasilevskiy,TBL,1,0,22.5,12.99,1,0,0.045278214,0.05666811258086427,0.0567,0.0567
8476883,Andrei Vasilevskiy,TBL,2,-2,45.0,-25.98,1,0,0.08062676,0.08274550425627482,0.0827,0.0827
8476883,Andrei Vasilevskiy,TBL,2,-1,45.0,0.0,2,0,0.17934468399999998,0.1725618288534274,0.1726,0.0863
8476883,Andrei Vasilevskiy,TBL,2,0,45.0,25.98,3,1,0.109901365,0.14746536654521714,-0.8525,-0.2842
8476883,Andrei Vasilevskiy,TBL,3,-2,67.5,-12.99,3,0,0.205832198,0.21848243608925194,0.2185,0.0728
8476883,Andrei Vasilevskiy,TBL,3,-1,67.5,12.99,2,1,0.40564973,0.31176907896107997,-0.6882,-0.3441
8476883,Andrei Vasilevskiy,TBL,3,0,67.5,38.97,1,0,0.030704582,0.04415961802581521,0.0442,0.0442
8476883,Andrei Vasilevskiy,TBL,4,-3,90.0,-25.98,1,0,0.035712413,0.048383761831551846,0.0484,0.0484
8476883,Andrei Vasilevskiy,TBL,4,-2,90.0,0.0,4,0,0.640288295,0.5264145136449301,0.5264,0.1316
8476914,Joonas Korpisalo,BOS,2,-1,45.0,0.0,2,0,0.15122137000000002,0.1608463813805003,0.1608,0.0804
8476914,Joonas Korpisalo,BOS,3,-1,67.5,12.99,1,0,0.011572889,0.02363430963149157,0.0236,0.0236
8476999,Linus Ullmark,OTT,2,-2,45.0,-25.98,1,0,0.030056657,0.04258015899187104,0.0426,0.0426
8476999,Linus Ullmark,OTT,2,-1,45.0,0.0,2,0,0.09184932000000001,0.1123524207637633,0.1124,0.0562
8476999,Linus Ullmark,OTT,3,-3,67.5,-38.97,2,0,0.17776639,0.17437186710820313,0.1744,0.0872
8476999,Linus Ullmark,OTT,3,-2,67.5,-12.99,1,0,0.18512097,0.143783127866506,0.1438,0.1438
8476999,Linus Ullmark,OTT,3,-1,67.5,12.99,4,0,0.64818628,0.5168208553119248,0.5168,0.1292
8476999,Linus Ullmark,OTT,3,0,67.5,38.97,1,0,0.020876423,0.03362322856657355,0.0336,0.0336
8476999,Linus Ullmark,OTT,4,-2,90.0,0.0,3,0,0.31378311999999997,0.288385516903378,0.2884,0.0961
8476999,Linus Ullmark,OTT,4,-1,90.0,25.98,1,1,0.121982135,0.10799720290741487,-0.892,-0.892
8477465,Tristan Jarry,EDM,3,-1,67.5,12.99,1,0,0.02132209,0.035295493749118695,0.0353,0.0353
8478024,Ville Husso,ANA,3,-1,67.5,12.99,1,0,0.105995774,0.09939144139881693,0.0994,0.0994
8478024,Ville Husso,ANA,3,0,67.5,38.97,1,0,0.06999707,0.07546666581684591,0.0755,0.0755
8478435,Dan Vladar,PHI,1,0,22.5,12.99,2,0,0.087617154,0.11305528799514819,0.1131,0.0566
8478435,Dan Vladar,PHI,2,-2,45.0,-25.98,3,0,0.175128874,0.20171638039958767,0.2017,0.0672
8478435,Dan Vladar,PHI,2,-1,45.0,0.0,3,0,0.164498118,0.19561480344811916,0.1956,0.0652
8478435,Dan Vladar,PHI,2,0,45.0,25.98,2,0,0.075628567,0.0911574653127426,0.0912,0.0456
8478435,Dan Vladar,PHI,3,-2,67.5,-12.99,3,0,0.273486091,0.26027919080929945,0.2603,0.0868
8478435,Dan Vladar,PHI,3,-1,67.5,12.99,6,0,0.593537924,0.5727788940791227,0.5728,0.0955
8478435,Dan Vladar,PHI,4,-2,90.0,0.0,6,0,0.905421345,0.7703468339446252,0.7703,0.1284
8478435,Dan Vladar,PHI,4,-1,90.0,25.98,2,0,0.205058716,0.199316626744022,0.1993,0.0996
8478872,Karel Vejmelka,UTA,2,-1,45.0,0.0,4,0,0.221622712,0.26122278218606065,0.2612,0.0653
8478872,Karel Vejmelka,UTA,2,0,45.0,25.98,2,0,0.09568600299999999,0.11821961678413268,0.1182,0.0591
8478872,Karel Vejmelka,UTA,3,-2,67.5,-12.99,2,1,0.40676745000000003,0.316376906571771,-0.6836,-0.3418
8478872,Karel Vejmelka,UTA,4,-2,90.0,0.0,3,0,0.42132304,0.3619836736253264,0.362,0.1207
8478971,Connor Ingram,EDM,2,-2,45.0,-25.98,1,0,0.3596732,0.23862479538429454,0.2386,0.2386
8478971,Connor Ingram,EDM,2,-1,45.0,0.0,1,0,0.047058757,0.05875110305719778,0.0588,0.0588
8478971,Connor Ingram,EDM,2,0,45.0,25.98,1,1,0.023184903,0.03696426010677867,-0.963,-0.963
8478971,Connor Ingram,EDM,3,-2,67.5,-12.99,2,0,0.123311914,0.13877045776756985,0.1388,0.0694
8478971,Connor Ingram,EDM,3,-1,67.5,12.99,1,0,0.067489155,0.07419653558375354,0.0742,0.0742
8478971,Connor Ingram,EDM,3,0,67.5,38.97,1,0,0.0438375,0.05621260879821333,0.0562,0.0562
8478971,Connor Ingram,EDM,4,-2,90.0,0.0,4,0,0.580310145,0.4906430185214452,0.4906,0.1226
