hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,goal_rate,xg_rate
1,-2,22.5,-38.97,1,0,0.025955923,0.0,0.026
1,-1,22.5,-12.99,6,0,0.2423421,0.0,0.0404
1,0,22.5,12.99,9,1,0.802395379,0.1111,0.0892
2,-3,45.0,-51.96,2,0,0.039015391999999996,0.0,0.0195
2,-2,45.0,-25.98,22,3,1.786697279,0.1364,0.0812
2,-1,45.0,0.0,38,2,2.5044089473,0.0526,0.0659
2,0,45.0,25.98,23,2,1.078611027,0.087,0.0469
2,1,45.0,51.96,1,0,0.018378716,0.0,0.0184
3,-3,67.5,-38.97,10,1,0.7295996760000001,0.1,0.073
3,-2,67.5,-12.99,45,6,6.100804546,0.1333,0.1356
3,-1,67.5,12.99,49,4,5.973566817,0.0816,0.1219
3,0,67.5,38.97,12,0,0.534147172,0.0,0.0445
4,-3,90.0,-25.98,3,0,0.101660571,0.0,0.0339
4,-2,90.0,0.0,75,6,10.78779081,0.08,0.1438
4,-1,90.0,25.98,11,1,0.8601745080000001,0.0909,0.0782
