shooter_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8471215,Evgeni Malkin,PIT,2,-2,45.0,-25.98,1,0,0.025211534,0.03971429112844417,-0.0397,-0.0397
8473512,Claude Giroux,OTT,3,-3,67.5,-38.97,1,0,0.017377317,0.030606013180770213,-0.0306,-0.0306
8473533,Jordan Staal,CAR,3,-2,67.5,-12.99,1,0,0.18512097,0.143783127866506,-0.1438,-0.1438
8473533,Jordan Staal,CAR,3,-1,67.5,12.99,2,0,0.24375534100000001,0.1880451903986347,-0.188,-0.094
8473986,Alex Killorn,ANA,3,-2,67.5,-12.99,1,0,0.04145313,0.0540686131080013,-0.0541,-0.0541
8473986,Alex Killorn,ANA,3,-1,67.5,12.99,1,0,0.15923375,0.13004547047410733,-0.13,-0.13
8474578,Erik Karlsson,PIT,1,0,22.5,12.99,1,0,0.03542333,0.049288960215710255,-0.0493,-0.0493
8474578,Erik Karlsson,PIT,2,-2,45.0,-25.98,1,0,0.08138269,0.08509420928295529,-0.0851,-0.0851
8474590,John Carlson,WSH,4,-1,90.0,25.98,1,0,0.024569493,0.0372649063752458,-0.0373,-0.0373
8474716,Jared Spurgeon,MIN,2,0,45.0,25.98,1,0,0.04502344,0.05618719265835546,-0.0562,-0.0562
8475168,Matt Duchene,DAL,2,-2,45.0,-25.98,1,0,0.11712771,0.10789982352055279,-0.1079,-0.1079
8475168,Matt Duchene,DAL,3,-2,67.5,-12.99,1,0,0.05507673,0.065483609625252,-0.0655,-0.0655
8475168,Matt Duchene,DAL,4,-2,90.0,0.0,2,0,0.171704675,0.1677489524734778,-0.1677,-0.0838
8475172,Nazem Kadri,CGY,3,-2,67.5,-12.99,4,1,0.54273594,0.4679751113218928,0.532,0.133
8475184,Chris Kreider,ANA,4,-2,90.0,0.0,2,0,0.16876638500000002,0.17391258244429433,-0.1739,-0.087
8475692,Mats Zuccarello,MIN,4,-2,90.0,0.0,2,0,0.227904365,0.20433394176157696,-0.2043,-0.1022
8475722,Jason Zucker,BUF,4,-2,90.0,0.0,4,0,0.362421502,0.3658126404490212,-0.3658,-0.0914
8475754,Brock Nelson,COL,3,-3,67.5,-38.97,1,0,0.13044114,0.11377077326710237,-0.1138,-0.1138
