player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Ryan Suter,,D,8470600,-1.832780860411276e-08,7.021440978860483e-05,5.912188862566836e-05,7.760703010717407e-05,,,,,,
Brent Burns,COL,D,8470613,-2.631278839260176e-08,-0.0007738087442703545,-0.0007738087442703545,-0.0005447707371786237,5.0,0.0,0.192,-0.192,-0.001,-0.0002
Corey Perry,LAK,R,8470621,3.2663798776866315e-08,0.0014713496202602983,0.0009640869102440774,0.001688926829956472,19.0,3.0,3.095,-0.095,-0.001,0.0028
Alex Ovechkin,WSH,L,8471214,4.475082278077025e-07,0.0006267897551879287,0.0002497135428711772,0.0007496968610212207,49.0,4.0,3.875,0.125,0.009,0.0018
Evgeni Malkin,PIT,C,8471215,3.244345592179343e-08,-0.0003064665652345866,-0.0003064665652345866,0.0005798998172394931,20.0,2.0,1.895,0.105,0.001,0.0002
Sidney Crosby,PIT,C,8471675,-1.788179542927537e-05,0.004010009579360485,0.0039488752372562885,0.004721905570477247,21.0,4.0,2.816,1.184,-0.006,0.0089
Anze Kopitar,LAK,C,8471685,-9.665590368967969e-06,0.0036854480858892202,0.0027599134482443333,0.003764920635148883,11.0,2.0,0.944,1.056,-0.003,0.0028
Kris Letang,PIT,D,8471724,-4.589268343124786e-08,-0.0026540295220911503,-0.0026540295220911503,-0.0018303277902305126,9.0,0.0,0.837,-0.837,0.004,-0.0016
Brad Marchand,FLA,L,8473419,-2.439756462990772e-05,0.0012027464108541608,0.0005183066823519766,0.0012418326223269105,20.0,2.0,1.887,0.113,-0.005,0.0015
Nick Foligno,CHI,L,8473422,-4.8694943188820616e-08,0.0012203865917399526,0.0008058772073127329,0.0013811243698000908,6.0,1.0,0.802,0.198,-0.001,0.0007
Jeff Petry,FLA,D,8473507,-1.9200948386810524e-08,-0.0007851710543036461,-0.0007851710543036461,-0.0005772624863311648,4.0,0.0,0.219,-0.219,0.0,-0.0002
Claude Giroux,OTT,R,8473512,-9.888633911714351e-08,-0.004708093125373125,-0.004708093125373125,-0.0032683322206139565,17.0,0.0,1.362,-1.362,-0.007,-0.0052
Jordan Staal,CAR,C,8473533,6.510434218398586e-07,-0.003497572848573327,-0.003497572848573327,-0.0021785618737339973,9.0,0.0,0.95,-0.95,-0.006,-0.0026
Nikolay Kulemin,,L,8473579,-4.2763488750097167e-07,7.003647624514997e-05,5.7619188737589866e-05,7.853136048652232e-05,,,,,,
Jonathan Toews,WPG,C,8473604,1.6373745665987371e-06,0.0006902330787852407,0.0004687009786721319,0.0007595174247398973,14.0,2.0,2.127,-0.127,-0.007,0.0008
Alex Killorn,ANA,L,8473986,6.10218194196932e-07,-0.0006908014183863997,-0.0009519640589132905,-0.0005974930245429277,13.0,1.0,1.495,-0.495,-0.001,-0.001
Jamie Benn,DAL,L,8473994,-3.23661879519932e-08,7.022057980066165e-05,5.906977821723558e-05,7.757474668323994e-05,,,,,,
