player_name,team,shooter_id,week,theta,mu_theta,shots_that_week,theta_lo,theta_hi
Cody Glass,NJD,8479996,0,-0.010480163618922234,-0.010483525693416595,5,-0.1894,0.1684
Cody Glass,NJD,8479996,1,-0.010480058379471302,-0.010483525693416595,3,-0.2414,0.2204
Cody Glass,NJD,8479996,2,-0.010480167344212532,-0.010483525693416595,2,-0.2933,0.2723
Cody Glass,NJD,8479996,3,-0.010480202734470367,-0.010483525693416595,3,-0.2414,0.2204
Cody Glass,NJD,8479996,4,-0.010480264201760292,-0.010483525693416595,6,-0.1738,0.1528
Cody Glass,NJD,8479996,5,-0.010480147786438465,-0.010483525693416595,3,-0.2414,0.2204
Cody Glass,NJD,8479996,6,-0.010480162687599659,-0.010483525693416595,0,-0.4105,0.3895
Cody Glass,NJD,8479996,7,-0.010480275377631187,-0.010483525693416595,8,-0.1519,0.1309
Cody Glass,NJD,8479996,8,-0.010480217635631561,-0.010483525693416595,3,-0.2414,0.2204
Cody Glass,NJD,8479996,9,-0.010480127297341824,-0.010483525693416595,0,-0.4105,0.3895
Cody Glass,NJD,8479996,10,-0.010480030439794064,-0.010483525693416595,6,-0.1738,0.1528
Cody Glass,NJD,8479996,11,-0.010480140335857868,-0.010483525693416595,9,-0.1438,0.1228
Cody Glass,NJD,8479996,12,-0.010480070486664772,-0.010483525693416595,12,-0.126,0.105
Cody Glass,NJD,8479996,13,-0.010479922406375408,-0.010483525693416595,6,-0.1738,0.1528
Cody Glass,NJD,8479996,14,-0.010479888878762722,-0.010483525693416595,5,-0.1894,0.1684
Cody Glass,NJD,8479996,15,-0.010479907505214214,-0.010483525693416595,4,-0.2105,0.1895
Cody Glass,NJD,8479996,16,-0.010479936376214027,-0.010483525693416595,9,-0.1438,0.1228
Cody Glass,NJD,8479996,17,-0.010479914024472237,-0.010483525693416595,6,-0.1738,0.1528
Cody Glass,NJD,8479996,18,-0.010480045340955257,-0.010483525693416595,15,-0.1138,0.0928
Cody Glass,NJD,8479996,19,-0.01048042718321085,-0.010483525693416595,3,-0.2414,0.2204
Cody Glass,NJD,8479996,20,-0.010480775497853756,-0.010483525693416595,3,-0.2414,0.2204
Cody Glass,NJD,8479996,21,-0.010480969212949276,-0.010483525693416595,5,-0.1894,0.1684
Cody Glass,NJD,8479996,22,-0.010481092147529125,-0.010483525693416595,1,-0.4105,0.3895
Jesse Puljujarvi,,8479344,0,0.016555778682231903,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,1,0.016555974259972572,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,2,0.01655605062842369,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,3,0.016555974259972572,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,4,0.016555989161133766,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,5,0.016556262969970703,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,6,0.016556648537516594,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,7,0.016556641086935997,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,8,0.01655660569667816,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,9,0.016556596383452415,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,10,0.016556840389966965,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,11,0.016556991264224052,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,12,0.016556773334741592,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,13,0.01655665971338749,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,14,0.01655697263777256,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,15,0.016557330265641212,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,16,0.016557341441512108,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,17,0.016557196155190468,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,18,0.01655764691531658,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,19,0.016558807343244553,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,20,0.01655961014330387,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,21,0.016559777781367302,0.016554322093725204,0,-0.3834,0.4166
Jesse Puljujarvi,,8479344,22,0.016559451818466187,0.016554322093725204,0,-0.3834,0.4166
Lukas Rousek,,8481751,0,0.00037505142972804606,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,1,0.00037505157524719834,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,2,0.0003750550386030227,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,3,0.0003750645846594125,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,4,0.00037506080116145313,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,5,0.00037505911313928664,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,6,0.00037506732041947544,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,7,0.00037508420064114034,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,8,0.0003750921168830246,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,9,0.0003750898176804185,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,10,0.0003750963951461017,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,11,0.0003751156327780336,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,12,0.00037512730341404676,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,13,0.0003751271578948945,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,14,0.0003751265467144549,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,15,0.00037513443385250866,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,16,0.0003751393232960254,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,17,0.00037514089490287006,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,18,0.0003751506155822426,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,19,0.0003751746262423694,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,20,0.00037519566831178963,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,21,0.0003752084739971906,0.0003751121985260397,0,-0.3996,0.4004
Lukas Rousek,,8481751,22,0.00037521266494877636,0.0003751121985260397,0,-0.3996,0.4004
Peyton Krebs,BUF,8481522,0,-0.021968107670545578,-0.02197236567735672,0,-0.422,0.378
Peyton Krebs,BUF,8481522,1,-0.02196827158331871,-0.02197236567735672,3,-0.2529,0.2089
Peyton Krebs,BUF,8481522,2,-0.021968429908156395,-0.02197236567735672,3,-0.2529,0.2089
Peyton Krebs,BUF,8481522,3,-0.021968381479382515,-0.02197236567735672,3,-0.2529,0.2089
Peyton Krebs,BUF,8481522,4,-0.02196841686964035,-0.02197236567735672,4,-0.222,0.178
Peyton Krebs,BUF,8481522,5,-0.021968627348542213,-0.02197236567735672,5,-0.2009,0.1569
Peyton Krebs,BUF,8481522,6,-0.02196905016899109,-0.02197236567735672,4,-0.222,0.178
Peyton Krebs,BUF,8481522,7,-0.02196907252073288,-0.02197236567735672,4,-0.222,0.178
Peyton Krebs,BUF,8481522,8,-0.021969160065054893,-0.02197236567735672,2,-0.3048,0.2608
Peyton Krebs,BUF,8481522,9,-0.021969089284539223,-0.02197236567735672,9,-0.1553,0.1113
Peyton Krebs,BUF,8481522,10,-0.02196948416531086,-0.02197236567735672,7,-0.1732,0.1292
Peyton Krebs,BUF,8481522,11,-0.02196953259408474,-0.02197236567735672,9,-0.1553,0.1113
Peyton Krebs,BUF,8481522,12,-0.02196955680847168,-0.02197236567735672,9,-0.1553,0.1113
Peyton Krebs,BUF,8481522,13,-0.021969866007566452,-0.02197236567735672,5,-0.2009,0.1569
Peyton Krebs,BUF,8481522,14,-0.021969912573695183,-0.02197236567735672,1,-0.422,0.378
Peyton Krebs,BUF,8481522,15,-0.02197003923356533,-0.02197236567735672,7,-0.1732,0.1292
Peyton Krebs,BUF,8481522,16,-0.021970171481370926,-0.02197236567735672,4,-0.222,0.178
Peyton Krebs,BUF,8481522,17,-0.021970421075820923,-0.02197236567735672,6,-0.1853,0.1413
Peyton Krebs,BUF,8481522,18,-0.021971002221107483,-0.02197236567735672,2,-0.3048,0.2608
Peyton Krebs,BUF,8481522,19,-0.021971916779875755,-0.02197236567735672,5,-0.2009,0.1569
Peyton Krebs,BUF,8481522,20,-0.021972941234707832,-0.02197236567735672,9,-0.1553,0.1113
Peyton Krebs,BUF,8481522,21,-0.02197341062128544,-0.02197236567735672,6,-0.1853,0.1413
Peyton Krebs,BUF,8481522,22,-0.021973196417093277,-0.02197236567735672,2,-0.3048,0.2608
Mattias Samuelsson,BUF,8480807,0,0.057660430669784546,0.05765237286686897,0,-0.3423,0.4577
Mattias Samuelsson,BUF,8480807,1,0.05766082927584648,0.05765237286686897,1,-0.3423,0.4577
Mattias Samuelsson,BUF,8480807,2,0.05766100808978081,0.05765237286686897,0,-0.3423,0.4577
Mattias Samuelsson,BUF,8480807,3,0.05766066163778305,0.05765237286686897,2,-0.2251,0.3405
Mattias Samuelsson,BUF,8480807,4,0.05766019597649574,0.05765237286686897,2,-0.2251,0.3405
Mattias Samuelsson,BUF,8480807,5,0.0576600655913353,0.05765237286686897,7,-0.0935,0.2089
Mattias Samuelsson,BUF,8480807,6,0.05766045302152634,0.05765237286686897,7,-0.0935,0.2089
Mattias Samuelsson,BUF,8480807,7,0.05766107141971588,0.05765237286686897,5,-0.1212,0.2366
Mattias Samuelsson,BUF,8480807,8,0.057661738246679306,0.05765237286686897,3,-0.1732,0.2886
Mattias Samuelsson,BUF,8480807,9,0.05766215920448303,0.05765237286686897,7,-0.0935,0.2089
Mattias Samuelsson,BUF,8480807,10,0.05766235291957855,0.05765237286686897,14,-0.0492,0.1646
Mattias Samuelsson,BUF,8480807,11,0.057662926614284515,0.05765237286686897,9,-0.0756,0.191
Mattias Samuelsson,BUF,8480807,12,0.057663921266794205,0.05765237286686897,4,-0.1423,0.2577
Mattias Samuelsson,BUF,8480807,13,0.05766468867659569,0.05765237286686897,3,-0.1732,0.2886
Mattias Samuelsson,BUF,8480807,14,0.05766495317220688,0.05765237286686897,4,-0.1423,0.2577
Mattias Samuelsson,BUF,8480807,15,0.057665105909109116,0.05765237286686897,13,-0.0532,0.1686
Mattias Samuelsson,BUF,8480807,16,0.0576653927564621,0.05765237286686897,4,-0.1423,0.2577
Mattias Samuelsson,BUF,8480807,17,0.05766645073890686,0.05765237286686897,11,-0.0629,0.1783
Mattias Samuelsson,BUF,8480807,18,0.057668235152959824,0.05765237286686897,4,-0.1423,0.2577
Mattias Samuelsson,BUF,8480807,19,0.05767067149281502,0.05765237286686897,3,-0.1732,0.2886
Mattias Samuelsson,BUF,8480807,20,0.05767306685447693,0.05765237286686897,4,-0.1423,0.2577
Mattias Samuelsson,BUF,8480807,21,0.05767437070608139,0.05765237286686897,11,-0.0629,0.1783
Mattias Samuelsson,BUF,8480807,22,0.05767471715807915,0.05765237286686897,7,-0.0935,0.2089
Jack Quinn,BUF,8482097,0,-0.016719205304980278,-0.016723357141017914,0,-0.4167,0.3833
Jack Quinn,BUF,8482097,1,-0.016719190403819084,-0.016723357141017914,6,-0.18,0.1466
